run_date,run_id,canonical_article_id,related_canonical_article_ids,primary_display_section,repeat_exposure_status,published_date_normalized,collected_date_normalized,article_age_days,freshness_bucket,freshness_status,freshness_reason,freshness_score,article_integrity_status,access_status,extracted_city,extracted_state,extracted_market_reason,gp_name,canonical_gp_name,lead_entity,counterparties,entity_extraction_method,entity_extraction_confidence,entity_extraction_reason,residential_sector,activity_type,market_focus,source_categories,source_platform_types,article_count,average_relevance_score,institutional_signal_strength,growth_or_defensive_signal,likely_strategy,potential_implication_for_woomi,recommended_follow_up,strategic_priority_label
2026-06-02,20260602-010310-89150adf,art_286c2a4c243693bb,art_286c2a4c243693bb,GP / Capital Activity,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,valid,accessible,,,"no city, state, or market keyword detected",BHI,BHI,BHI,Third Avenue Office-to-Resi Conversion Residential,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",Office-to-Residential Conversion,refinancing; office-to-residential conversion; JV / partnership,Other / Unknown,Core Multifamily News,Other,1,96.0,73,Defensive Capital Preservation,office conversion pipeline,potential JV partnership signal,monitor JV activity,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_8b83dbb662b38901,art_8b83dbb662b38901,GP / Capital Activity,repeat_penalized,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),48,valid,accessible,Washington DC,Washington DC,matched city/metro keyword: Washington DC,Basis Investment Group,Basis Investment Group,Basis Investment Group,Jasmine Kilman Basis Investment Group; Newly Built Philadelphia MF Basis Investment Group,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",Apartment,refinancing; operational technology / AI adoption,Washington DC,Core Multifamily News,Other,1,100.0,73,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_86d3cff087fb1b43,art_86d3cff087fb1b43,GP / Capital Activity,repeat_penalized,2026-05-21,2026-06-02,12,recent_4_14d,usable_recent,published date parsed; article age 12 day(s),55,valid,accessible,Miami,Florida,matched city/metro keyword: Miami,Miami Apartments Madison Realty Capital,Miami Apartments Madison Realty Capital,Miami Apartments Madison Realty Capital,,capital_event_sentence,medium,Inferred entity from source text near capital-event language.,Apartment,refinancing; operational technology / AI adoption,Miami / Florida,Site / Parcel Source Expansion,Other,1,100.0,73,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_8a28bcfb4161c847,art_8a28bcfb4161c847,GP / Capital Activity,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,valid,accessible,,New York,matched state keyword: New York,S3 Capital,S3 Capital,S3 Capital,Paul Bubny S3 Capital; Washington Heights Student Housing S3 Capital,title_lead_pattern,medium,Inferred entity from headline lead segment and capital-event verb.,Student Housing,refinancing; capital raise; operational technology / AI adoption,New York,Core Multifamily News,Other,1,89.0,73,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_6664b6bcc6439a4d,art_6664b6bcc6439a4d,GP / Capital Activity,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,valid,accessible,Washington DC,Washington DC,matched city/metro keyword: Washington DC,Somerset Companies,Somerset Companies,Somerset Companies,,capital_event_sentence,medium,Inferred entity from source text near capital-event language.,Mixed-Use Residential,JV / partnership; operational technology / AI adoption,Washington DC,Site / Parcel Source Expansion,Other,1,85.0,73,Operational Optimization,operational efficiency push,potential JV partnership signal,monitor JV activity,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_60303e6c9069cb7f,art_60303e6c9069cb7f,GP / Capital Activity,repeat_penalized,2023-12-04,2026-06-02,911,old_31d_plus,historical_only,published date parsed; article age 911 day(s),5,valid,accessible,Atlanta,Georgia,matched city/metro keyword: Atlanta,Wood Partners,Wood Partners,Wood Partners,,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",Apartment,disposition / exit; JV / partnership; operational technology / AI adoption,Atlanta / Georgia,Site / Parcel Source Expansion,Other,1,100.0,73,Defensive Capital Preservation,operational efficiency push,potential JV partnership signal,monitor JV activity,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_b4cd03841b97e08a,art_b4cd03841b97e08a,Development Activity,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,valid,accessible,Los Angeles,California,matched city/metro keyword: Los Angeles,Sale Sets Cap Rate Benchmark SRS Real Estate,Sale Sets Cap Rate Benchmark SRS Real Estate,Sale Sets Cap Rate Benchmark SRS Real Estate,,capital_event_sentence,medium,Inferred entity from source text near capital-event language.,General Residential,disposition / exit; JV / partnership; operational technology / AI adoption,Los Angeles / California,Regional / California / LA Sources,Other,1,67.0,72,Defensive Capital Preservation,operational efficiency push,potential JV partnership signal,monitor JV activity,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_6c88d3d3a50a1a68,art_6c88d3d3a50a1a68,GP / Capital Activity,repeat_penalized,2026-05-11,2026-06-02,22,stale_15_30d,stale_penalized,published date parsed; article age 22 day(s),50,valid,accessible,,New York,matched state keyword: New York,Blackstone,Blackstone,Blackstone,Strategies Launches Homebuilder Lending Platform Blackstone Real Estate,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",General Residential,refinancing,New York,Developer / GP Newsrooms,Other,1,61.0,70,Defensive Capital Preservation,stable platform monitoring,capital market sentiment indicator,track refinancing pipeline,Immediate Watch
2026-06-02,20260602-010310-89150adf,art_e60c8ea567aa8fb8,art_e60c8ea567aa8fb8,GP / Capital Activity,repeat_penalized,2026-05-19,2026-06-02,14,recent_4_14d,usable_recent,published date parsed; article age 14 day(s),55,valid,accessible,Atlanta,Georgia,matched city/metro keyword: Atlanta,Kayne Anderson Real Estate,Kayne Anderson Real Estate,Kayne Anderson Real Estate,,capital_event_sentence,medium,Inferred entity from source text near capital-event language.,Student Housing,refinancing; operational technology / AI adoption,Atlanta / Georgia,Site / Parcel Source Expansion,Other,1,65.0,70,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_2fc2839996d4b16a,art_2fc2839996d4b16a,GP / Capital Activity,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,valid,accessible,Phoenix,Arizona,matched city/metro keyword: Phoenix,Berkshire Hathaway,Berkshire Hathaway,Berkshire Hathaway,,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",BTR / Single-Family Rental,acquisition; BTR expansion; operational technology / AI adoption,Phoenix / Arizona,Core Multifamily News,Other,1,61.0,68,Operational Optimization,BTR growth strategy,benchmark underwriting assumptions,track construction innovation strategy,Strategic Watch
