run_id,run_date,cluster_title,article_count,retained_evidence_count,confidence_label,dominant_market,dominant_financing_pattern,cluster_status,synthesis_participation,source_diversity,lender_diversity,dominant_source_share
20260614-000904-0228c830,2026-06-14,Construction financing still selective,9,9,Broadly Confirmed,Miami / Florida,construction loan,fading,,7,2,0.222
20260615-001053-87d3b62d,2026-06-15,Construction financing still selective,9,9,Broadly Confirmed,Miami / Florida,construction loan,stable,,7,2,0.222
20260616-014320-175168dd,2026-06-16,Construction financing still selective,6,6,Broadly Confirmed,Miami / Florida,construction loan,fading,,4,1,0.333
20260617-001813-7e028cca,2026-06-17,Construction financing still selective,7,7,Broadly Confirmed,Miami / Florida,construction financing,expanding,,5,2,0.286
20260618-001725-265595f4,2026-06-18,Construction financing still selective,6,6,Broadly Confirmed,Miami / Florida,construction loan,fading,,4,1,0.333
20260619-002803-60bf3723,2026-06-19,Construction financing still selective,7,7,Broadly Confirmed,Miami / Florida,construction financing,expanding,,4,2,0.429
20260620-001047-3a836daf,2026-06-20,Construction financing still selective,8,8,Broadly Confirmed,Miami / Florida,construction financing,expanding,,5,2,0.375
20260621-000747-ec7072ff,2026-06-21,Construction financing still selective,7,7,Broadly Confirmed,Miami / Florida,construction loan,fading,,4,2,0.429
20260622-001313-0c1b6c9b,2026-06-22,Construction financing still selective,7,7,Broadly Confirmed,Miami / Florida,construction loan,stable,,4,2,0.429
20260623-000752-0e6f5f71,2026-06-23,Construction financing still selective,6,6,Broadly Confirmed,Miami / Florida,construction financing,fading,,5,2,0.333
20260623-235839-1625a2df,2026-06-23,Construction financing still selective,5,5,Broadly Confirmed,New York City / New York,construction loan,fading,,5,1,0.2
20260625-001447-86f3a02e,2026-06-25,Construction financing still selective,7,7,Broadly Confirmed,New York City / New York,construction financing,expanding,,5,2,0.429
20260626-001102-db0c2cd9,2026-06-26,Construction financing still selective,3,3,Moderate Signal,Miami / Florida,construction financing,fading,,2,0,0.667
20260627-000844-ffc034be,2026-06-27,Construction financing still selective,3,3,Moderate Signal,National,construction financing,stable,,2,0,0.667
20260628-000336-0274ba14,2026-06-28,Construction financing still selective,6,6,Broadly Confirmed,National,construction loan,expanding,,3,0,0.5
20260629-001104-974ab7b9,2026-06-29,Construction financing still selective,6,6,Broadly Confirmed,National,construction loan,stable,,3,0,0.5
20260630-000528-e3d0faf1,2026-06-30,Construction financing still selective,2,2,Early Signal,Seattle,construction financing,fading,,2,1,0.5
20260701-000701-05607635,2026-07-01,Construction financing still selective,5,5,Broadly Confirmed,New York,construction loan,expanding,,5,1,0.2
20260702-000820-f445e33a,2026-07-02,Construction financing still selective,3,3,Moderate Signal,New York City / New York,construction loan,fading,,3,1,0.333
20260703-000640-3892dc56,2026-07-03,Construction financing still selective,5,5,Broadly Confirmed,Miami / Florida,construction loan,expanding,,4,1,0.4
