run_date,run_id,primary_topic,article_count,high_confidence_count,medium_confidence_count,low_confidence_count,unknown_count,top_markets,top_sources
2026-06-18,20260618-001725-265595f4,development_pipeline,19,3,9,7,0,Phoenix / Arizona (3); Los Angeles / California (3); Other / Unknown (3); California (2); Denver / Colorado (1),Yield PRO (3); Urbanize LA (3); Connect CRE Phoenix (2); Connect CRE California (2); Connect CRE Apartments (2)
2026-06-18,20260618-001725-265595f4,gp_activity,13,0,0,1,12,National (3); New York City / New York (2); Other / Unknown (2); Beverly Hills / California (1); Houston / Texas (1),NAHB Eye on Housing - Multifamily (3); Urbanize LA (2); Commercial Observer (2); Connect CRE Texas (2); Connect CRE Orange County (1)
2026-06-18,20260618-001725-265595f4,transaction_market,13,2,8,3,0,Other / Unknown (3); California (3); Sun Belt (1); Phoenix / Arizona (1); Beverly Hills / California (1),Yield PRO (6); REBusiness Online (3); Connect CRE Apartments (1); Connect CRE Phoenix (1); Commercial Observer (1)
2026-06-18,20260618-001725-265595f4,supply_demand,12,1,0,11,0,Other / Unknown (7); National (4); Washington DC (1),NAHB Eye on Housing - Multifamily (8); Multifamily Executive (2); Multifamily Dive (2)
2026-06-18,20260618-001725-265595f4,capital_markets,7,4,2,1,0,Miami / Florida (3); Other / Unknown (2); Seattle (1); California (1),Connect CRE Apartments (2); Connect CRE South Florida (2); Yield PRO (1); REBusiness Online (1); Connect CRE Orange County (1)
2026-06-18,20260618-001725-265595f4,other,6,0,0,0,6,California (2); Atlanta / Georgia (1); National (1); San Francisco / California (1); Los Angeles / California (1),Urbanize LA (2); SF YIMBY (2); Bisnow (2)
2026-06-18,20260618-001725-265595f4,macro_financing,5,0,0,1,4,Other / Unknown (4); National (1),NAHB Eye on Housing - Multifamily (2); Bisnow (1); Multifamily Dive (1); Multifamily Executive (1)
2026-06-18,20260618-001725-265595f4,institutional_capital,2,0,2,0,0,Miami / Florida (1); Austin / Texas (1),Connect CRE South Florida (1); REBusiness Online (1)
2026-06-18,20260618-001725-265595f4,research_data,2,0,0,0,2,Los Angeles / California (2),Urbanize LA (2)
