run_date,run_id,primary_topic,article_count,high_confidence_count,medium_confidence_count,low_confidence_count,unknown_count,top_markets,top_sources
2026-07-18,20260718-235559-a40a5f93,transaction_market,18,8,6,4,0,Los Angeles / California (5); Phoenix / Arizona (3); California (2); Other / Unknown (2); Virginia (1),Yield PRO (3); Commercial Observer (2); REBusiness Online (2); Connect CRE Phoenix (2); Connect CRE Apartments (2)
2026-07-18,20260718-235559-a40a5f93,gp_activity,15,0,0,1,14,Other / Unknown (6); National (2); Atlanta / Georgia (1); Sun Belt (1); Miami / Florida (1),Multifamily Dive (4); NAHB Eye on Housing - Multifamily (3); Yield PRO (2); Connect CRE (1); Connect CRE Atlanta (1)
2026-07-18,20260718-235559-a40a5f93,supply_demand,15,2,0,13,0,Other / Unknown (8); National (5); New York City / New York (1); Miami / Florida (1),NAHB Eye on Housing - Multifamily (8); Multifamily Executive (3); Connect CRE Apartments (1); Multifamily Dive (1); Bisnow (1)
2026-07-18,20260718-235559-a40a5f93,capital_markets,13,4,8,1,0,Miami / Florida (3); Washington DC (2); Austin / Texas (2); New York City / New York (1); National (1),REBusiness Online (3); Connect CRE South Florida (3); Yield PRO (2); Commercial Observer (2); Connect CRE Texas (2)
2026-07-18,20260718-235559-a40a5f93,development_pipeline,13,1,4,8,0,Atlanta / Georgia (3); Other / Unknown (3); San Francisco / California (2); Los Angeles / California (1); Dallas / Texas (1),Bisnow (2); HousingWire (2); NAHB Eye on Housing - Multifamily (2); Urbanize LA (1); Connect CRE Atlanta (1)
2026-07-18,20260718-235559-a40a5f93,institutional_capital,10,2,5,3,0,New York City / New York (2); Other / Unknown (2); New York (1); Houston / Texas (1); Riverside / California (1),REBusiness Online (4); Connect CRE (3); Connect CRE Orange County (2); Yield PRO (1)
2026-07-18,20260718-235559-a40a5f93,macro_financing,4,0,0,0,4,Other / Unknown (3); Los Angeles / California (1),NAHB Eye on Housing - Multifamily (2); Urbanize LA (1); Multifamily Executive (1)
2026-07-18,20260718-235559-a40a5f93,other,4,0,0,0,4,Other / Unknown (2); Texas (1); Santa Monica / California (1),Urbanize LA (2); SF YIMBY (2)
2026-07-18,20260718-235559-a40a5f93,research_data,4,0,0,0,4,Los Angeles / California (2); Southeast (1); National (1),Urbanize LA (3); Bisnow (1)
2026-07-18,20260718-235559-a40a5f93,entitlement_policy,1,0,1,0,0,Denver / Colorado (1),Commercial Observer (1)
