run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,source_entity,canonical_source_entity,source_entity_type,target_entity,canonical_target_entity,target_entity_type,relationship_type,market,deal_type,evidence_article_title,url,relationship_strength_score,entity_resolution_confidence,canonical_relationship_event_count,relationship_repeat_strength,confirmed_multi_source_relationship,woomi_strategic_relevance,recommended_follow_up
2026-09-22,20260922-012817-1faedc88,PRJ-20260922-0045,"JV / Partnership - California - Affinius Capital, Alliance Residential Dispose of 545-Unit Seniors Housing Portfolio in No...",100,Alliance Residential,Alliance Residential,Developer / GP,jll,JLL,Lender / Debt Provider,JV / Partnership,California,JV / Partnership,"Affinius Capital, Alliance Residential Dispose of 545-Unit Seniors Housing Portfolio in Northern California",https://rebusinessonline.com/affinius-capital-alliance-residential-dispose-of-545-unit-seniors-housing-portfolio-in-northern-california/,100,40,1,100,No,High relevance to Woomi partnership strategy,Review potential JV relevance
2026-09-22,20260922-012817-1faedc88,PRJ-20260922-0048,Acquisition - California - Tishman Speyer Acquires 376-Unit Anaheim Rental Community,100,Freddie Mac,Freddie Mac,Developer / GP,freddie mac,Freddie Mac,Lender / Debt Provider,Financing Relationship,California,Acquisition,Tishman Speyer Acquires 376-Unit Anaheim Rental Community,https://www.connectcre.com/stories/tishman-speyer-acquires-376-unit-anaheim-rental-community/,100,75,1,100,No,Relevant to LA / California strategy,Track GP relationship history
2026-09-22,20260922-012817-1faedc88,PRJ-20260922-0045,"JV / Partnership - California - Affinius Capital, Alliance Residential Dispose of 545-Unit Seniors Housing Portfolio in No...",100,Alliance Residential,Alliance Residential,Developer / GP,California,California,Market / Region,JV / Partnership,California,JV / Partnership,"Affinius Capital, Alliance Residential Dispose of 545-Unit Seniors Housing Portfolio in Northern California",https://rebusinessonline.com/affinius-capital-alliance-residential-dispose-of-545-unit-seniors-housing-portfolio-in-northern-california/,97,40,1,97,No,High relevance to Woomi partnership strategy,Review potential JV relevance
2026-09-22,20260922-012817-1faedc88,PRJ-20260922-0045,"JV / Partnership - California - Affinius Capital, Alliance Residential Dispose of 545-Unit Seniors Housing Portfolio in No...",100,Alliance Residential,Alliance Residential,Developer / GP,"JV / Partnership - California - Affinius Capital, Alliance Residential Dispose of 545-Unit Seniors Housing Portfolio in No...",Los Angeles,Project / Deal,JV / Partnership,California,JV / Partnership,"Affinius Capital, Alliance Residential Dispose of 545-Unit Seniors Housing Portfolio in Northern California",https://rebusinessonline.com/affinius-capital-alliance-residential-dispose-of-545-unit-seniors-housing-portfolio-in-northern-california/,97,40,1,97,No,High relevance to Woomi partnership strategy,Review potential JV relevance
2026-09-22,20260922-012817-1faedc88,PRJ-20260922-0130,"Acquisition - Phoenix / Arizona - Evergreen Building Mesa Apartments, Retail",100,Brookfield,Brookfield,Developer / GP,brookfield,Brookfield,Institutional Capital,Acquisition / Buyer,Phoenix / Arizona,Acquisition,"Evergreen Building Mesa Apartments, Retail",https://www.connectcre.com/stories/evergreen-building-mesa-apartments-retail/,96,75,1,96,No,General market intelligence,Track GP relationship history
2026-09-22,20260922-012817-1faedc88,PRJ-20260922-0076,Acquisition - Los Angeles / California - Decron Pays $114M for Miracle Mile Apartments,100,GID,GID,Developer / GP,jll,JLL,Lender / Debt Provider,Financing Relationship,Los Angeles / California,Acquisition,Decron Pays $114M for Miracle Mile Apartments,https://www.connectcre.com/stories/498977-2/,95,40,1,95,No,Relevant to capital markets monitoring,Track GP relationship history
2026-09-22,20260922-012817-1faedc88,PRJ-20260922-0060,JV / Partnership - Dallas / Texas - KCG Snags Financing for 260-Unit Mesquite Senior Housing Community,100,Walker & Dunlop,Walker & Dunlop,Developer / GP,walker & dunlop,walker & dunlop,Lender / Debt Provider,JV / Partnership,Dallas / Texas,JV / Partnership,KCG Snags Financing for 260-Unit Mesquite Senior Housing Community,https://www.connectcre.com/stories/kcg-snags-financing-for-260-unit-mesquite-senior-housing-community/,95,40,1,95,No,High relevance to Woomi partnership strategy,Review potential JV relevance
2026-09-22,20260922-012817-1faedc88,PRJ-20260922-0110,Refinancing - New York City / New York - Walker & Dunlop Arranges $86M Refi for Flushing Affordable Quartet,100,Walker & Dunlop,Walker & Dunlop,Developer / GP,freddie mac,Freddie Mac,Lender / Debt Provider,Financing Relationship,New York City / New York,Refinancing,Walker & Dunlop Arranges $86M Refi for Flushing Affordable Quartet,https://www.connectcre.com/stories/walker-dunlop-arranges-86m-refi-for-flushing-affordable-quartet/,93,40,1,93,No,Relevant to capital markets monitoring,Track GP relationship history
2026-09-22,20260922-012817-1faedc88,PRJ-20260922-0100,Construction Financing - Miami / Florida - Development Group Inks $58M Construction Loan for Coconut Grove Condos,100,Berkadia,Berkadia,Developer / GP,berkadia,Berkadia,Lender / Debt Provider,Financing Relationship,Miami / Florida,Construction Financing,Development Group Inks $58M Construction Loan for Coconut Grove Condos,https://www.connectcre.com/stories/development-group-inks-58m-construction-loan-for-coconut-grove-condos/,92,75,1,92,No,Relevant to capital markets monitoring,Track GP relationship history
2026-09-22,20260922-012817-1faedc88,PRJ-20260922-0100,Construction Financing - Miami / Florida - Development Group Inks $58M Construction Loan for Coconut Grove Condos,100,Berkadia,Berkadia,Developer / GP,berkadia,Berkadia,Lender / Debt Provider,Financing Relationship,Miami / Florida,Refinancing,Rich Properties Snags $38.5M Refi for West Palm Beach Rental Asset,https://www.connectcre.com/stories/rich-properties-snags-38-5m-refi-for-west-palm-beach-rental-asset/,92,75,1,92,No,Relevant to capital markets monitoring,Track GP relationship history
