run_date,run_id,canonical_article_id,related_canonical_article_ids,primary_display_section,repeat_exposure_status,published_date_normalized,collected_date_normalized,article_age_days,freshness_bucket,freshness_status,freshness_reason,freshness_score,article_integrity_status,access_status,extracted_city,extracted_state,extracted_market_reason,gp_name,canonical_gp_name,lead_entity,counterparties,entity_extraction_method,entity_extraction_confidence,entity_extraction_reason,has_project_anchor,project_anchor_reason,project_anchor_confidence,development_lifecycle_hint,residential_sector,activity_type,market_focus,source_categories,source_platform_types,article_count,average_relevance_score,institutional_signal_strength,growth_or_defensive_signal,likely_strategy,potential_implication_for_woomi,recommended_follow_up,strategic_priority_label
2026-08-04,20260804-001022-4ad0ee73,art_26fd7536b9e854d9,art_9632a5aa9cfdd1e2; art_c90a4cb76140baaa; art_26fd7536b9e854d9; art_7ee5f545f0e0a15e; art_7581087558bfcaf5; art_82581272b52dc11e,GP / Capital Activity,new_or_fresh,2026-08-03,2026-08-04,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,valid,open,,,used broad market bucket: Seattle,CBRE,CBRE,CBRE,MDNI Group; Coastline Real Estate Investments; Clarion Partners Acquires Rohnert Park Senior Living; Paul Bubny Clarion Partners; Acquires Rohnert Park Senior Living; Property Clarion Partners,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",False,"no identifiable project, asset, site, address, or unit-count anchor",none,,Apartment,acquisition; disposition / exit; refinancing; development start; entitlement; JV / partnership; operational technology / AI adoption,Los Angeles / California,Core Multifamily News; Regional / California / LA Sources; Site / Parcel Source Expansion,Other,6,97.3,97,Defensive Capital Preservation,operational efficiency push,potential JV partnership signal,monitor JV activity,Immediate Watch
2026-08-04,20260804-001022-4ad0ee73,art_8815ae5c9018d619,art_8815ae5c9018d619; art_b914af68e0e48820; art_3bc718e346fc1fb4; art_c47c1f0b64a3839e,Development Activity,new_or_fresh,2026-08-03,2026-08-04,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,valid,open,,,"no city, state, or market keyword detected",JLL,JLL,JLL,Downtown Brooklyn Multifamily Residential Development Site; Downtown Brooklyn Multifamily Residential,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 122-acre; project/asset term: development,high,Project / Asset,BTR / Single-Family Rental,acquisition; disposition / exit; refinancing; BTR expansion; JV / partnership; operational technology / AI adoption,Other / Unknown,Core Multifamily News; Site / Parcel Source Expansion,Other,4,90.2,97,Defensive Capital Preservation,BTR growth strategy,potential JV partnership signal,monitor JV activity,Immediate Watch
2026-08-04,20260804-001022-4ad0ee73,art_4b8894c9284c3ab2,art_b9fa8a98e5aa3509; art_c158e71409af2275; art_4b8894c9284c3ab2; art_6595ac6c3493f1ac; art_c18f4ef75dd78a33; art_2fda0e2c00913dfc,Development Activity,new_or_fresh,2026-08-03,2026-08-04,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,valid,open,,,"no city, state, or market keyword detected",Marcus & Millichap,Marcus & Millichap,Marcus & Millichap,Millichap Capital; Institutional Property Advisors; Pomona Multifamily Institutional Property Advisors,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 84 units; project/asset term: apartments,high,Project / Asset,Apartment,acquisition; disposition / exit; operational technology / AI adoption,Other / Unknown,Core Multifamily News; Regional / California / LA Sources; Site / Parcel Source Expansion,Other,6,87.8,97,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track construction innovation strategy,Immediate Watch
2026-08-04,20260804-001022-4ad0ee73,art_2fda0e2c00913dfc,art_b9fa8a98e5aa3509; art_2fda0e2c00913dfc,Development Activity,new_or_fresh,2026-08-03,2026-08-04,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,valid,open,,California,matched state keyword: California,Millichap Capital,Millichap Capital,Millichap Capital,Marcus & Millichap,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 34-unit; address/street: 915 johnfer way; project/asset term: multifamily property; project financing tied to anchor: acquisition financing,high,Project Financing / Capital Event,Apartment,acquisition; disposition / exit; operational technology / AI adoption,Los Angeles / California,Core Multifamily News; Regional / California / LA Sources,Other,2,89.0,89,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track construction innovation strategy,Immediate Watch
2026-08-04,20260804-001022-4ad0ee73,art_af936828d39943e9,art_af936828d39943e9,Development Activity,repeat_penalized,2026-07-15,2026-08-04,20,old_31d_plus,old,published date parsed; article age 20 day(s),5,valid,open,,California,matched state keyword: California,Bascom Group,Bascom Group,Bascom Group,,,,,True,unit/site count: 183-unit; project/asset term: community,high,Project / Asset,Apartment,acquisition; disposition / exit; refinancing; operational technology / AI adoption,California,Site / Parcel Source Expansion,Other,1,91.0,83,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Immediate Watch
2026-08-04,20260804-001022-4ad0ee73,art_195e49f75723614c,art_195e49f75723614c,GP / Capital Activity,repeat_penalized,2026-07-14,2026-08-04,21,old_31d_plus,old,published date parsed; article age 21 day(s),5,valid,open,,California,matched state keyword: California,"Milhaus Merges with SRG Residential, Will","Milhaus Merges with SRG Residential, Will","Milhaus Merges with SRG Residential, Will",SRG Residential; Will Acquire Broadshore Capital,title_lead_pattern,medium,Inferred entity from headline lead segment and capital-event verb.,True,project/asset term: apartments,medium,Project / Asset,Apartment,acquisition; operational technology / AI adoption,California,Site / Parcel Source Expansion,Other,1,67.0,82,Operational Optimization,operational efficiency push,competitive pressure indicator,review LA / California development activity,Immediate Watch
2026-08-04,20260804-001022-4ad0ee73,art_839bdee8dfc98b3f,art_839bdee8dfc98b3f,Development Activity,acceptable_repeat,2026-07-31,2026-08-04,4,fresh_0_3d,fresh,published date parsed; article age 4 day(s),70,valid,open,,California,matched state keyword: California,Family Trust,Family Trust,Family Trust,DMJ Capital Partners; StoneSteps Real Estate,title_lead_pattern,medium,Inferred entity from headline lead segment and capital-event verb.,True,address/street: 169 saxony rd,medium,Project / Asset,General Residential,acquisition; JV / partnership; operational technology / AI adoption,California,Regional / California / LA Sources,Other,1,52.0,74,Operational Optimization,operational efficiency push,potential JV partnership signal,monitor JV activity,Strategic Watch
2026-08-04,20260804-001022-4ad0ee73,art_87b535f58ccbe00f,art_87b535f58ccbe00f,GP / Capital Activity,new_or_fresh,2026-08-03,2026-08-04,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,valid,open,,Florida,matched state keyword: Florida,Adam America Real Estate,Adam America Real Estate,Adam America Real Estate,Stellar Communities,capital_event_sentence,medium,Inferred entity from source text near capital-event language.,False,"no identifiable project, asset, site, address, or unit-count anchor",none,,BTR / Single-Family Rental,refinancing; BTR expansion; JV / partnership,Florida,Core Multifamily News,Other,1,84.0,73,Defensive Capital Preservation,BTR growth strategy,potential JV partnership signal,monitor JV activity,Strategic Watch
2026-08-04,20260804-001022-4ad0ee73,art_553e28c72375fba3,art_553e28c72375fba3,GP / Capital Activity,acceptable_repeat,2026-07-30,2026-08-04,5,fresh_0_3d,fresh,published date parsed; article age 5 day(s),66,valid,open,,,"no city, state, or market keyword detected",Alliance Residential,Alliance Residential,Alliance Residential,,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",False,"no identifiable project, asset, site, address, or unit-count anchor",none,,Apartment,acquisition; disposition / exit; operational technology / AI adoption,Other / Unknown,Core Multifamily News,Other,1,75.0,73,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track construction innovation strategy,Strategic Watch
2026-08-04,20260804-001022-4ad0ee73,art_43641de8f10a1d27,art_43641de8f10a1d27,Development Activity,repeat_penalized,2026-07-27,2026-08-04,8,recent_4_14d,recent,published date parsed; article age 8 day(s),55,valid,open,Phoenix,Arizona,matched city/metro keyword: Phoenix,Arcus Real Estate Capital,Arcus Real Estate Capital,Arcus Real Estate Capital,,capital_event_sentence,medium,Inferred entity from source text near capital-event language.,True,unit/site count: 334-unit; project/asset term: community,high,Project / Asset,BTR / Single-Family Rental,refinancing; BTR expansion; operational technology / AI adoption,Phoenix / Arizona,Site / Parcel Source Expansion,Other,1,94.0,73,Defensive Capital Preservation,BTR growth strategy,capital market sentiment indicator,track refinancing pipeline,Strategic Watch
