run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,source_entity,canonical_source_entity,source_entity_type,target_entity,canonical_target_entity,target_entity_type,relationship_type,market,deal_type,evidence_article_title,url,relationship_strength_score,entity_resolution_confidence,canonical_relationship_event_count,relationship_repeat_strength,confirmed_multi_source_relationship,woomi_strategic_relevance,recommended_follow_up
2026-08-11,20260811-234049-01f9b98d,PRJ-20260811-0108,Domain Lines Up $176M Financing for Mixed-Income Astoria Rentals,100,General Project Signal - New York City / New York - Domain Lines Up $176M Financing for Mixed-Income Astoria Rentals,New York,Project / Deal,wells fargo,wells fargo,Lender / Debt Provider,Financing Relationship,New York City / New York,General Project Signal,Domain Lines Up $176M Financing for Mixed-Income Astoria Rentals,https://www.connectcre.com/stories/domain-lines-up-176m-financing-for-mixed-income-astoria-rentals/,59,40,1,59,No,Relevant to capital markets monitoring,Monitor lender activity
2026-08-11,20260811-234049-01f9b98d,PRJ-20260811-0091,Arrow Arranges $85M Construction Loan for Miami Condo Project,100,Construction Financing - Miami / Florida - Arrow Arranges $85M Construction Loan for Miami Condo Project,Sun Belt,Project / Deal,Miami / Florida,Sun Belt,Market / Region,Financing Relationship,Miami / Florida,Construction Financing,Arrow Arranges $85M Construction Loan for Miami Condo Project,https://www.connectcre.com/stories/arrow-arranges-85m-construction-loan-for-miami-condo-project/,58,60,1,58,No,Relevant to capital markets monitoring,Monitor only
2026-08-11,20260811-234049-01f9b98d,PRJ-20260811-0091,Arrow Arranges $85M Construction Loan for Miami Condo Project,100,Construction Financing - Miami / Florida - Arrow Arranges $85M Construction Loan for Miami Condo Project,Sun Belt,Project / Deal,South Florida,South Florida,Market / Region,Financing Relationship,Miami / Florida,Construction Financing,Arrow Arranges $85M Construction Loan for Miami Condo Project,https://www.connectcre.com/stories/arrow-arranges-85m-construction-loan-for-miami-condo-project/,58,40,1,58,No,Relevant to capital markets monitoring,Monitor only
2026-08-11,20260811-234049-01f9b98d,PRJ-20260811-0096,Baron Property Group Closes on $226.5M Refi for Hialeah Apartment Community,100,Refinancing - Miami / Florida - Baron Property Group Closes on $226.5M Refi for Hialeah Apartment Community,Sun Belt,Project / Deal,Miami / Florida,Sun Belt,Market / Region,Financing Relationship,Miami / Florida,Refinancing,Baron Property Group Closes on $226.5M Refi for Hialeah Apartment Community,https://www.connectcre.com/stories/baron-property-group-closes-on-226-5m-refi-for-hialeah-apartment-community/,58,60,1,58,No,Relevant to capital markets monitoring,Monitor only
2026-08-11,20260811-234049-01f9b98d,PRJ-20260811-0096,Baron Property Group Closes on $226.5M Refi for Hialeah Apartment Community,100,Refinancing - Miami / Florida - Baron Property Group Closes on $226.5M Refi for Hialeah Apartment Community,Sun Belt,Project / Deal,South Florida,South Florida,Market / Region,Financing Relationship,Miami / Florida,Refinancing,Baron Property Group Closes on $226.5M Refi for Hialeah Apartment Community,https://www.connectcre.com/stories/baron-property-group-closes-on-226-5m-refi-for-hialeah-apartment-community/,58,40,1,58,No,Relevant to capital markets monitoring,Monitor only
2026-08-11,20260811-234049-01f9b98d,PRJ-20260811-0045,Keystone Arranges $22M Permanent Loan for Belmont Multifamily,100,General Project Signal - California - Keystone Arranges $22M Permanent Loan for Belmont Multifamily,California,Project / Deal,California,California,Market / Region,Market Expansion,California,General Project Signal,Keystone Arranges $22M Permanent Loan for Belmont Multifamily,https://www.connectcre.com/stories/keystone-arranges-22m-permanent-loan-for-belmont-multifamily/,57,60,1,57,No,Relevant to LA / California strategy,Track LA / California activity
2026-08-11,20260811-234049-01f9b98d,PRJ-20260811-0046,TruAmerica Multifamily Debuts Structured Finance Platform with Cornerstone Preferred Equity Investment,100,General Project Signal - California - TruAmerica Multifamily Debuts Structured Finance Platform with Cornerstone Preferred Equit...,Los Angeles,Project / Deal,California,California,Market / Region,Market Expansion,California,General Project Signal,TruAmerica Multifamily Debuts Structured Finance Platform with Cornerstone Preferred Equity Investment,https://yieldpro.com/2026/08/11-el-camino-real/,57,60,1,57,No,Relevant to LA / California strategy,Track LA / California activity
2026-08-11,20260811-234049-01f9b98d,PRJ-20260811-0050,Affordable housing nears the finish like at 515 Pioneer Dr. in Glendale,100,Office-to-Residential Conversion - California - Affordable housing nears the finish like at 515 Pioneer Dr. in Glendale,California,Project / Deal,California,California,Market / Region,Market Expansion,California,Office-to-Residential Conversion,Affordable housing nears the finish like at 515 Pioneer Dr. in Glendale,https://la.urbanize.city/post/affordable-housing-nears-finish-515-pioneer-dr-glendale,56,60,1,56,No,Relevant to LA / California strategy,Track LA / California activity
2026-08-11,20260811-234049-01f9b98d,PRJ-20260811-0050,Affordable housing nears the finish like at 515 Pioneer Dr. in Glendale,100,Office-to-Residential Conversion - California - Affordable housing nears the finish like at 515 Pioneer Dr. in Glendale,California,Project / Deal,National,National,Market / Region,Market Expansion,California,Office-to-Residential Conversion,Affordable housing nears the finish like at 515 Pioneer Dr. in Glendale,https://la.urbanize.city/post/affordable-housing-nears-finish-515-pioneer-dr-glendale,56,40,1,56,No,Relevant to LA / California strategy,Track LA / California activity
2026-08-11,20260811-234049-01f9b98d,PRJ-20260811-0134,ColRich Pays $52.4M for Mesa Rental Community,100,Acquisition - Phoenix / Arizona - ColRich Pays $52.4M for Mesa Rental Community,Sun Belt,Project / Deal,Phoenix,Sun Belt,Market / Region,Acquisition / Buyer,Phoenix / Arizona,Acquisition,ColRich Pays $52.4M for Mesa Rental Community,https://www.connectcre.com/stories/colrich-pays-52-4m-for-mesa-rental-community/,54,60,1,54,No,Low relevance,Monitor only
