run_id,run_date,cluster_title,persistence_label,trend_direction,consecutive_run_count,7d_presence,30d_presence,average_article_count,average_confidence,article_count,retained_count,source_diversity,lender_diversity,dominant_market,confidence_label,regime_shift_signal,synthesis_participation
20260906-003733-9f6b17d3,2026-09-06,Construction financing still selective,Persistent,stable,131,8,31,4.23,3.23,6,6,4,3,Miami / Florida,Broadly Confirmed,steady visibility,
20260906-003733-9f6b17d3,2026-09-06,Institutional recap over expansion,Building,stable,19,8,30,3.77,2.94,3,3,3,1,Dallas / Texas,Moderate Signal,steady visibility,
20260906-003733-9f6b17d3,2026-09-06,JV / partnership activity observed,Persistent,stable,131,8,31,7.0,3.94,5,5,5,2,California,Broadly Confirmed,steady visibility,
20260906-003733-9f6b17d3,2026-09-06,LA entitlement precedent accumulation,Persistent,stable,131,8,31,5.81,2.94,5,5,3,1,Los Angeles / California,Moderate Signal,steady visibility,
20260906-003733-9f6b17d3,2026-09-06,Refinancing pressure unresolved,Building,stable,19,8,30,4.32,3.1,4,4,4,2,Dallas / Texas,Moderate Signal,steady visibility,
20260906-003733-9f6b17d3,2026-09-06,Sun Belt lease-up pressure watch,Persistent,stable,131,8,31,4.32,3.29,4,4,3,0,National,Moderate Signal,steady visibility,
