run_date,run_id,primary_topic,article_count,high_confidence_count,medium_confidence_count,low_confidence_count,unknown_count,top_markets,top_sources
2026-06-16,20260616-014320-175168dd,supply_demand,13,1,0,12,0,Other / Unknown (7); National (3); Miami / Florida (1); Texas (1); Washington DC (1),NAHB Eye on Housing - Multifamily (8); Multifamily Executive (2); Connect CRE South Florida (1); Connect CRE Texas (1); Multifamily Dive (1)
2026-06-16,20260616-014320-175168dd,transaction_market,13,4,5,4,0,Phoenix / Arizona (2); National (2); Washington DC (2); Dallas / Texas (2); Houston / Texas (1),REBusiness Online (3); Connect CRE Apartments (3); Yield PRO (2); Connect CRE Phoenix (1); Connect CRE California (1)
2026-06-16,20260616-014320-175168dd,capital_markets,12,7,4,1,0,Miami / Florida (3); New York (2); Other / Unknown (2); California (2); Los Angeles / California (1),REBusiness Online (3); Connect CRE South Florida (2); Connect CRE California (2); Yield PRO (2); Connect CRE Apartments (1)
2026-06-16,20260616-014320-175168dd,gp_activity,12,0,0,1,11,California (2); Other / Unknown (2); Dallas / Texas (2); National (2); Florida (1),NAHB Eye on Housing - Multifamily (3); Connect CRE Texas (2); Yield PRO (1); Connect CRE Orange County (1); Commercial Observer (1)
2026-06-16,20260616-014320-175168dd,development_pipeline,11,2,3,6,0,Other / Unknown (3); Los Angeles / California (3); Phoenix / Arizona (2); California (1); Seattle (1),Connect CRE Phoenix (2); Connect CRE Apartments (2); NAHB Eye on Housing - Multifamily (2); Bisnow (2); Connect CRE Orange County (1)
2026-06-16,20260616-014320-175168dd,macro_financing,6,0,0,1,5,Other / Unknown (4); Los Angeles / California (2),Urbanize LA (2); NAHB Eye on Housing - Multifamily (2); Multifamily Dive (1); Multifamily Executive (1)
2026-06-16,20260616-014320-175168dd,institutional_capital,5,0,5,0,0,Other / Unknown (2); Miami / Florida (1); Connecticut (1); Atlanta / Georgia (1),REBusiness Online (2); Connect CRE South Florida (1); Connect CRE Apartments (1); Multifamily Dive (1)
2026-06-16,20260616-014320-175168dd,other,5,0,0,0,5,Los Angeles / California (2); Other / Unknown (1); San Francisco / California (1); Washington DC (1),Urbanize LA (2); SF YIMBY (2); Bisnow (1)
2026-06-16,20260616-014320-175168dd,research_data,5,0,0,0,5,Los Angeles / California (3); California (1); Other / Unknown (1),Urbanize LA (4); Bisnow (1)
