run_date,run_id,check_name,component,status,details,recommended_fix
2026-05-20,20260520-230154-ca46e1ee,file_exists_deal_pipeline.csv,deal_pipeline.csv,OK,deal_pipeline.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_deal_pipeline.csv,deal_pipeline.csv,OK,70 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_deal_pipeline.csv,deal_pipeline.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_asset_parcel_intelligence.csv,asset_parcel_intelligence.csv,OK,asset_parcel_intelligence.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_asset_parcel_intelligence.csv,asset_parcel_intelligence.csv,OK,95 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_asset_parcel_intelligence.csv,asset_parcel_intelligence.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_la_asset_watch.csv,la_asset_watch.csv,OK,la_asset_watch.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_la_asset_watch.csv,la_asset_watch.csv,OK,43 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_la_asset_watch.csv,la_asset_watch.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_project_identity.csv,project_identity.csv,OK,project_identity.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_project_identity.csv,project_identity.csv,OK,719 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_project_identity.csv,project_identity.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_persistent_asset_memory.csv,persistent_asset_memory.csv,OK,persistent_asset_memory.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_persistent_asset_memory.csv,persistent_asset_memory.csv,OK,141 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_persistent_asset_memory.csv,persistent_asset_memory.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_la_persistent_asset_watch.csv,la_persistent_asset_watch.csv,OK,la_persistent_asset_watch.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_la_persistent_asset_watch.csv,la_persistent_asset_watch.csv,OK,64 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_la_persistent_asset_watch.csv,la_persistent_asset_watch.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_entitlement_intelligence.csv,entitlement_intelligence.csv,OK,entitlement_intelligence.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_entitlement_intelligence.csv,entitlement_intelligence.csv,OK,10 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_entitlement_intelligence.csv,entitlement_intelligence.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_la_entitlement_watch.csv,la_entitlement_watch.csv,OK,la_entitlement_watch.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_la_entitlement_watch.csv,la_entitlement_watch.csv,OK,7 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_la_entitlement_watch.csv,la_entitlement_watch.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_development_lifecycle.csv,development_lifecycle.csv,OK,development_lifecycle.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_development_lifecycle.csv,development_lifecycle.csv,OK,95 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_development_lifecycle.csv,development_lifecycle.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_lifecycle_transition.csv,lifecycle_transition.csv,OK,lifecycle_transition.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_lifecycle_transition.csv,lifecycle_transition.csv,OK,95 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_lifecycle_transition.csv,lifecycle_transition.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_timing_intelligence.csv,timing_intelligence.csv,OK,timing_intelligence.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_timing_intelligence.csv,timing_intelligence.csv,OK,56 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_timing_intelligence.csv,timing_intelligence.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_market_entry_window.csv,market_entry_window.csv,OK,market_entry_window.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_market_entry_window.csv,market_entry_window.csv,OK,8 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_market_entry_window.csv,market_entry_window.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_gp_watchlist.csv,gp_watchlist.csv,OK,gp_watchlist.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_gp_watchlist.csv,gp_watchlist.csv,OK,4 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_gp_watchlist.csv,gp_watchlist.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_gp_intelligence.csv,gp_intelligence.csv,OK,gp_intelligence.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_gp_intelligence.csv,gp_intelligence.csv,OK,4 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_gp_intelligence.csv,gp_intelligence.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_institutional_relationships.csv,institutional_relationships.csv,OK,institutional_relationships.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_institutional_relationships.csv,institutional_relationships.csv,OK,4 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_institutional_relationships.csv,institutional_relationships.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_relationship_graph.csv,relationship_graph.csv,OK,relationship_graph.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_relationship_graph.csv,relationship_graph.csv,OK,118 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_relationship_graph.csv,relationship_graph.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_regional_intelligence.csv,regional_intelligence.csv,OK,regional_intelligence.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_regional_intelligence.csv,regional_intelligence.csv,OK,13 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_regional_intelligence.csv,regional_intelligence.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_residential_sector_intelligence.csv,residential_sector_intelligence.csv,OK,residential_sector_intelligence.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_residential_sector_intelligence.csv,residential_sector_intelligence.csv,OK,11 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_residential_sector_intelligence.csv,residential_sector_intelligence.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_historical_memory.csv,historical_memory.csv,OK,historical_memory.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_historical_memory.csv,historical_memory.csv,OK,418 rows read.,No action needed.
