run_date,run_id,raw_entity,canonical_entity,entity_type,alias_matched,confidence_score,source_file,occurrence_count,notes
2026-06-02,20260602-045446-a07523c4,Santa Monica,Santa Monica,Market / Region,,40,relationship_graph.csv,3,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Sarasota,Sarasota,Market / Region,,40,deal_pipeline.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Sarasota,Sarasota,Market / Region,,40,relationship_graph.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Sarasota / Florida,Sarasota / Florida,Market / Region,,40,articles.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Sarasota / Florida,Sarasota / Florida,Market / Region,,40,deal_pipeline.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Sarasota / Florida,Sarasota / Florida,Market / Region,,40,relationship_graph.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Scottsdale,Scottsdale,Market / Region,,40,deal_pipeline.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Scottsdale,Scottsdale,Market / Region,,40,relationship_graph.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Seattle,Seattle,Market / Region,,40,regional_intelligence.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Somerset Companies,Somerset Companies,Developer / GP,,40,gp_intelligence.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Somerset Companies,Somerset Companies,Developer / GP,,40,institutional_relationships.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,South Florida,South Florida,Market / Region,,40,deal_pipeline.csv,3,weak match / needs review
2026-06-02,20260602-045446-a07523c4,South Florida,South Florida,Market / Region,,40,relationship_graph.csv,3,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Southeast,Southeast,Market / Region,,40,regional_intelligence.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Standard Real Estate Investments,Standard Real Estate Investments,Developer / GP,,40,gp_intelligence.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Standard Real Estate Investments,Standard Real Estate Investments,Developer / GP,,40,institutional_relationships.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Atlanta,Sun Belt,Market / Region,Atlanta,75,deal_pipeline.csv,7,case or punctuation normalized match
2026-06-02,20260602-045446-a07523c4,Atlanta,Sun Belt,Market / Region,Atlanta,75,relationship_graph.csv,7,case or punctuation normalized match
2026-06-02,20260602-045446-a07523c4,Austin,Sun Belt,Market / Region,Austin,75,regional_intelligence.csv,1,case or punctuation normalized match
2026-06-02,20260602-045446-a07523c4,Austin / Texas,Sun Belt,Market / Region,Austin,60,articles.csv,1,partial match
2026-06-02,20260602-045446-a07523c4,Dallas,Sun Belt,Market / Region,Dallas,75,regional_intelligence.csv,1,case or punctuation normalized match
2026-06-02,20260602-045446-a07523c4,Miami,Sun Belt,Market / Region,Miami,75,deal_pipeline.csv,1,case or punctuation normalized match
2026-06-02,20260602-045446-a07523c4,Miami,Sun Belt,Market / Region,Miami,75,relationship_graph.csv,1,case or punctuation normalized match
2026-06-02,20260602-045446-a07523c4,Miami / Florida,Sun Belt,Market / Region,Miami,60,articles.csv,5,partial match
2026-06-02,20260602-045446-a07523c4,Miami / Florida,Sun Belt,Market / Region,Miami,60,deal_pipeline.csv,4,partial match
2026-06-02,20260602-045446-a07523c4,Miami / Florida,Sun Belt,Market / Region,Miami,60,relationship_graph.csv,4,partial match
2026-06-02,20260602-045446-a07523c4,Phoenix,Sun Belt,Market / Region,Phoenix,75,deal_pipeline.csv,2,case or punctuation normalized match
2026-06-02,20260602-045446-a07523c4,Phoenix,Sun Belt,Market / Region,Phoenix,75,regional_intelligence.csv,1,case or punctuation normalized match
2026-06-02,20260602-045446-a07523c4,Phoenix,Sun Belt,Market / Region,Phoenix,75,relationship_graph.csv,2,case or punctuation normalized match
2026-06-02,20260602-045446-a07523c4,Phoenix / Arizona,Sun Belt,Market / Region,Phoenix,60,articles.csv,3,partial match
2026-06-02,20260602-045446-a07523c4,Phoenix / Arizona,Sun Belt,Market / Region,Phoenix,60,deal_pipeline.csv,3,partial match
2026-06-02,20260602-045446-a07523c4,Phoenix / Arizona,Sun Belt,Market / Region,Phoenix,60,relationship_graph.csv,3,partial match
2026-06-02,20260602-045446-a07523c4,Sun Belt,Sun Belt,Market / Region,Sun Belt,100,articles.csv,1,exact canonical match
2026-06-02,20260602-045446-a07523c4,Sun Belt,Sun Belt,Market / Region,Sun Belt,100,regional_intelligence.csv,1,exact canonical match
2026-06-02,20260602-045446-a07523c4,Acquisition - Miami / Florida - Miami Apartments Trade for $109.9M,Sun Belt,Project / Deal,Miami,60,relationship_graph.csv,2,partial match
2026-06-02,20260602-045446-a07523c4,BTR / Build-to-Rent - Phoenix / Arizona - Work Begins on 94-Unit Scottsdale Luxury BTR Community,Sun Belt,Project / Deal,Phoenix,60,relationship_graph.csv,2,partial match
2026-06-02,20260602-045446-a07523c4,General Project Signal - Miami / Florida - S. Florida Ritz-Carlton Developer Inks $401M Bridge Loan,Sun Belt,Project / Deal,Miami,60,relationship_graph.csv,1,partial match
2026-06-02,20260602-045446-a07523c4,General Project Signal - Phoenix / Arizona - Empire Group Starts Work on $170M Phoenix Apartment Tower,Sun Belt,Project / Deal,Phoenix,60,relationship_graph.csv,2,partial match
2026-06-02,20260602-045446-a07523c4,Refinancing - Miami / Florida - Baron Property Group Secures Pre-Development Financing for Merrick Parc in Coral Gables an...,Sun Belt,Project / Deal,Miami,60,relationship_graph.csv,1,partial match
2026-06-02,20260602-045446-a07523c4,Texas,Texas,Market / Region,,40,regional_intelligence.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,U.S.,U.S.,Market / Region,,40,deal_pipeline.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,U.S.,U.S.,Market / Region,,40,relationship_graph.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Unknown,Unknown,Developer / GP,,40,deal_pipeline.csv,32,unknown entity needs review
2026-06-02,20260602-045446-a07523c4,Unknown,Unknown,Institutional Capital,,40,deal_pipeline.csv,59,unknown entity needs review
2026-06-02,20260602-045446-a07523c4,Unknown,Unknown,Lender / Debt Provider,,40,deal_pipeline.csv,48,unknown entity needs review
2026-06-02,20260602-045446-a07523c4,Unknown,Unknown,Market / Region,,40,deal_pipeline.csv,13,unknown entity needs review
2026-06-02,20260602-045446-a07523c4,Walker & Dunlop,Walker & Dunlop,Developer / GP,,40,deal_pipeline.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Walker & Dunlop,Walker & Dunlop,Developer / GP,,40,gp_intelligence.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Walker & Dunlop,Walker & Dunlop,Developer / GP,,40,institutional_relationships.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Walker & Dunlop,Walker & Dunlop,Developer / GP,,40,relationship_graph.csv,3,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Washington DC,Washington DC,Market / Region,,40,articles.csv,2,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Washington DC,Washington DC,Market / Region,,40,deal_pipeline.csv,2,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Washington DC,Washington DC,Market / Region,,40,relationship_graph.csv,2,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Washington Dc,Washington Dc,Market / Region,,40,deal_pipeline.csv,2,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Washington Dc,Washington Dc,Market / Region,,40,relationship_graph.csv,2,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Wood Partners,Wood Partners,Developer / GP,,40,deal_pipeline.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Wood Partners,Wood Partners,Developer / GP,,40,gp_intelligence.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Wood Partners,Wood Partners,Developer / GP,,40,institutional_relationships.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Wood Partners,Wood Partners,Developer / GP,,40,relationship_graph.csv,4,weak match / needs review
2026-06-02,20260602-045446-a07523c4,essex,essex,Institutional Capital,,40,deal_pipeline.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,essex,essex,Institutional Capital,,40,relationship_graph.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,northmarq,northmarq,Lender / Debt Provider,,40,deal_pipeline.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,northmarq,northmarq,Lender / Debt Provider,,40,relationship_graph.csv,1,weak match / needs review
