run_date,run_id,signal_name,signal_category,market,normalized_signal_key,source_count_today,article_count_today,article_count_7d,article_count_30d,source_count_7d,source_count_30d,first_seen_date,last_seen_date,days_observed_7d,days_observed_30d,persistence_score,momentum_score,freshness_score,diversity_score,memory_status,memory_reason
2026-06-02,20260602-040308-43dadaf3,acquisition,transaction_market,Sun Belt,transaction_market_acquisition_sun_belt,0,0,9,9,4,4,2026-05-27,2026-05-31,5,5,78,65,72,100,Persistent Signal,최근 30일 중 5일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,effective_rent_growth,supply_demand,Sun Belt,supply_demand_effective_rent_growth_sun_belt,0,0,9,9,2,2,2026-05-27,2026-05-31,5,5,78,65,72,50,Persistent Signal,최근 30일 중 5일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,joint_venture,institutional_capital,California,institutional_capital_joint_venture_california,0,0,9,9,3,3,2026-05-27,2026-05-31,5,5,78,65,72,75,Persistent Signal,최근 30일 중 5일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,redevelopment,development_pipeline,Sun Belt,development_pipeline_redevelopment_sun_belt,0,0,9,9,4,4,2026-05-27,2026-05-31,5,5,78,65,72,100,Persistent Signal,최근 30일 중 5일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,joint_venture,institutional_capital,Los Angeles,institutional_capital_joint_venture_los_angeles,0,0,7,7,4,4,2026-05-27,2026-05-31,5,5,74,65,72,100,Persistent Signal,최근 30일 중 5일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,joint_venture,institutional_capital,Other / Unknown,institutional_capital_joint_venture_other_unknown,0,0,7,7,2,2,2026-05-27,2026-05-31,5,5,74,65,72,50,Persistent Signal,최근 30일 중 5일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,refinancing,capital_markets,Sun Belt,capital_markets_refinancing_sun_belt,0,0,7,7,3,3,2026-05-27,2026-05-31,5,5,74,65,72,75,Persistent Signal,최근 30일 중 5일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,acquisition,development_pipeline,Sun Belt,development_pipeline_acquisition_sun_belt,0,0,6,6,2,2,2026-05-27,2026-05-31,5,5,72,65,72,50,Persistent Signal,최근 30일 중 5일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,construction_financing,capital_markets,Sun Belt,capital_markets_construction_financing_sun_belt,0,0,6,6,2,2,2026-05-27,2026-05-31,5,5,72,65,72,50,Persistent Signal,최근 30일 중 5일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,construction_financing,capital_markets,New York,capital_markets_construction_financing_new_york,0,0,6,6,1,1,2026-05-27,2026-05-31,5,5,72,65,72,25,Persistent Signal,최근 30일 중 5일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,bridge_loan,capital_markets,Florida,capital_markets_bridge_loan_florida,0,0,5,5,1,1,2026-05-27,2026-05-31,5,5,70,65,72,25,Persistent Signal,최근 30일 중 5일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,construction_financing,capital_markets,Los Angeles,capital_markets_construction_financing_los_angeles,0,0,5,5,1,1,2026-05-27,2026-05-31,5,5,70,65,72,25,Persistent Signal,최근 30일 중 5일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,delivery,development_pipeline,Sun Belt,development_pipeline_delivery_sun_belt,1,1,5,5,2,2,2026-05-29,2026-06-02,5,5,70,65,100,50,Persistent Signal,최근 30일 중 5일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,permit,development_pipeline,Sun Belt,development_pipeline_permit_sun_belt,0,0,5,5,1,1,2026-05-27,2026-05-31,5,5,70,65,72,25,Persistent Signal,최근 30일 중 5일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,supply_pressure,supply_demand,Sun Belt,supply_demand_supply_pressure_sun_belt,0,0,5,5,2,2,2026-05-27,2026-05-31,5,5,70,65,72,50,Persistent Signal,최근 30일 중 5일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,Developer Strategy,gp_activity,Sun Belt,gp_activity_developer_strategy_sun_belt,0,0,8,8,3,3,2026-05-28,2026-05-31,4,4,64,65,72,75,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 8건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,acquisition,transaction_market,California,transaction_market_acquisition_california,1,1,7,7,4,4,2026-05-27,2026-06-02,4,4,62,65,100,100,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 7건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,joint_venture,institutional_capital,National,institutional_capital_joint_venture_national,0,0,5,5,2,2,2026-05-27,2026-05-31,4,4,58,65,72,50,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 5건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,refinancing,capital_markets,National,capital_markets_refinancing_national,0,0,5,5,2,2,2026-05-27,2026-05-30,4,4,58,65,58,50,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 5건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,Development Strategy,gp_activity,Los Angeles,gp_activity_development_strategy_los_angeles,0,0,4,4,2,2,2026-05-28,2026-05-31,4,4,56,65,72,50,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 4건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,Development Strategy,gp_activity,Florida,gp_activity_development_strategy_florida,0,0,4,4,2,2,2026-05-28,2026-05-31,4,4,56,65,72,50,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 4건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,Supply & Demand,gp_activity,Sun Belt,gp_activity_supply_demand_sun_belt,0,0,4,4,2,2,2026-05-27,2026-05-31,4,4,56,65,72,50,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 4건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,density_bonus,development_pipeline,Southeast,development_pipeline_density_bonus_southeast,0,0,4,4,1,1,2026-05-27,2026-05-30,4,4,56,65,58,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 4건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,disposition,transaction_market,Los Angeles,transaction_market_disposition_los_angeles,0,0,4,4,2,2,2026-05-28,2026-05-31,4,4,56,65,72,50,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 4건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,supply_pressure,supply_demand,Los Angeles,supply_demand_supply_pressure_los_angeles,0,0,4,4,1,1,2026-05-28,2026-05-31,4,4,56,65,72,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 4건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,zoning,development_pipeline,Los Angeles,development_pipeline_zoning_los_angeles,0,0,4,4,1,1,2026-05-27,2026-05-31,4,4,56,65,72,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 4건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,refinancing,capital_markets,California,capital_markets_refinancing_california,0,0,6,6,5,5,2026-05-27,2026-06-01,3,3,48,65,86,100,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 6건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,disposition,transaction_market,Other / Unknown,transaction_market_disposition_other_unknown,2,2,5,5,2,2,2026-05-27,2026-06-02,3,3,46,65,100,50,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 5건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,refinancing,capital_markets,Other / Unknown,capital_markets_refinancing_other_unknown,0,0,4,4,3,3,2026-05-27,2026-05-31,3,3,44,65,72,75,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 4건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,acquisition,development_pipeline,Arizona,development_pipeline_acquisition_arizona,0,0,3,3,1,1,2026-05-29,2026-05-31,3,3,42,65,72,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 3건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,acquisition,development_pipeline,Florida,development_pipeline_acquisition_florida,0,0,3,3,1,1,2026-05-29,2026-05-31,3,3,42,65,72,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 3건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,adaptive_reuse,development_pipeline,New York,development_pipeline_adaptive_reuse_new_york,0,0,3,3,1,1,2026-05-29,2026-05-31,3,3,42,65,72,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 3건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,construction_start,development_pipeline,Los Angeles,development_pipeline_construction_start_los_angeles,0,0,3,3,1,1,2026-05-29,2026-05-31,3,3,42,65,72,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 3건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,effective_rent_growth,supply_demand,Los Angeles,supply_demand_effective_rent_growth_los_angeles,0,0,3,3,1,1,2026-05-27,2026-05-29,3,3,42,65,44,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 3건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,lender_activity,capital_markets,Other / Unknown,capital_markets_lender_activity_other_unknown,0,0,3,3,1,1,2026-05-29,2026-05-31,3,3,42,65,72,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 3건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,refinancing,capital_markets,Florida,capital_markets_refinancing_florida,0,0,3,3,1,1,2026-05-29,2026-05-31,3,3,42,65,72,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 3건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,zoning,development_pipeline,Other / Unknown,development_pipeline_zoning_other_unknown,0,0,3,3,1,1,2026-05-29,2026-05-31,3,3,42,65,72,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 3건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,disposition,transaction_market,Atlanta / Georgia,transaction_market_disposition_atlanta_georgia,1,2,4,4,1,1,2026-06-01,2026-06-02,2,2,32,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 4건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,entitlement,development_pipeline,Los Angeles / California,development_pipeline_entitlement_los_angeles_california,1,2,4,4,1,1,2026-06-01,2026-06-02,2,2,32,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 4건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,joint_venture,institutional_capital,Riverside / California,institutional_capital_joint_venture_riverside_california,2,2,4,4,2,2,2026-06-01,2026-06-02,2,2,32,65,100,50,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 4건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,disposition,transaction_market,New York,transaction_market_disposition_new_york,0,0,3,3,3,3,2026-05-27,2026-05-28,2,2,30,65,30,75,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 3건이 최근 7일에 관찰되었습니다.
