run_id,run_date,cluster_title,article_count,retained_evidence_count,confidence_label,dominant_market,dominant_financing_pattern,cluster_status,synthesis_participation,source_diversity,lender_diversity,dominant_source_share
20260601-064806-993581e0,2026-06-01,Institutional recap over expansion,3,3,Moderate Signal,California,refinancing,stable,,3,1,0.333
20260601-072833-c2587107,2026-06-01,Institutional recap over expansion,4,4,Moderate Signal,California,refinancing,expanding,,4,1,0.25
20260519-021700-3e3a74df,2026-05-19,JV / partnership activity observed,7,7,Broadly Confirmed,New York,,newly emerging,,6,1,0.286
20260520-040606-6613d3b9,2026-05-20,JV / partnership activity observed,6,6,Broadly Confirmed,New York,,fading,,5,3,0.333
20260520-051844-b14f8dba,2026-05-20,JV / partnership activity observed,6,6,Broadly Confirmed,New York,,stable,,5,3,0.333
20260520-230154-ca46e1ee,2026-05-20,JV / partnership activity observed,5,5,Broadly Confirmed,New York,,fading,,4,0,0.4
20260521-230148-97d5f8bd,2026-05-21,JV / partnership activity observed,6,6,Broadly Confirmed,National,,expanding,,4,0,0.333
20260522-230155-fb3b56b2,2026-05-22,JV / partnership activity observed,3,3,Moderate Signal,National,,fading,,3,0,0.333
20260523-230152-45df883f,2026-05-23,JV / partnership activity observed,5,5,Broadly Confirmed,National,,expanding,,4,0,0.4
20260524-230204-750df6c3,2026-05-24,JV / partnership activity observed,4,4,Moderate Signal,National,,fading,,4,0,0.25
20260525-230212-45b2fe12,2026-05-25,JV / partnership activity observed,2,2,Early Signal,New York,,fading,,2,0,0.5
20260526-060516-8f6cea4b,2026-05-26,JV / partnership activity observed,2,2,Early Signal,New York,,stable,,2,0,0.5
20260526-081038-35a22dfb,2026-05-26,JV / partnership activity observed,2,2,Early Signal,New York,,stable,,2,0,0.5
20260526-230211-c37354de,2026-05-26,JV / partnership activity observed,4,4,Moderate Signal,Sun Belt,,expanding,,4,0,0.25
20260527-013618-38446781,2026-05-27,JV / partnership activity observed,4,4,Moderate Signal,Sun Belt,,stable,,4,0,0.25
20260527-230207-4be4208e,2026-05-27,JV / partnership activity observed,8,8,Broadly Confirmed,California,,expanding,,6,0,0.25
20260528-230155-27f9735b,2026-05-28,JV / partnership activity observed,9,9,Broadly Confirmed,New York,,expanding,,7,1,0.333
20260529-230138-14a22af3,2026-05-29,JV / partnership activity observed,9,9,Broadly Confirmed,California,,stable,,7,0,0.222
20260530-230208-ccf8785d,2026-05-30,JV / partnership activity observed,10,10,Broadly Confirmed,California,,expanding,,8,0,0.2
20260531-230156-2ca508a0,2026-05-31,JV / partnership activity observed,9,9,Broadly Confirmed,Los Angeles,,fading,,7,0,0.222
20260601-003555-0e25506b,2026-06-01,JV / partnership activity observed,9,9,Broadly Confirmed,Los Angeles,,stable,,7,0,0.222
20260601-012139-c701e5e3,2026-06-01,JV / partnership activity observed,9,9,Broadly Confirmed,Los Angeles,,stable,,7,0,0.222
20260601-020308-c84a5578,2026-06-01,JV / partnership activity observed,9,9,Broadly Confirmed,Los Angeles,,stable,,7,0,0.222
20260601-023138-a39ed519,2026-06-01,JV / partnership activity observed,9,9,Broadly Confirmed,Los Angeles,,stable,,7,0,0.222
20260601-054634-41ca5227,2026-06-01,JV / partnership activity observed,9,9,Broadly Confirmed,Los Angeles,,stable,,7,0,0.222
20260601-064806-993581e0,2026-06-01,JV / partnership activity observed,7,7,Broadly Confirmed,Santa Monica / California,,fading,,6,0,0.286
20260601-072833-c2587107,2026-06-01,JV / partnership activity observed,9,9,Broadly Confirmed,Northern Virginia / Virginia,,expanding,,7,0,0.222
20260519-021700-3e3a74df,2026-05-19,LA entitlement precedent accumulation,10,10,Broadly Confirmed,Los Angeles,,newly emerging,,5,0,0.3
20260520-040606-6613d3b9,2026-05-20,LA entitlement precedent accumulation,8,8,Broadly Confirmed,Los Angeles,,fading,,5,0,0.25
20260520-051844-b14f8dba,2026-05-20,LA entitlement precedent accumulation,8,8,Broadly Confirmed,Los Angeles,,stable,,5,0,0.25
20260520-230154-ca46e1ee,2026-05-20,LA entitlement precedent accumulation,7,7,Broadly Confirmed,Los Angeles,,fading,,5,0,0.286
20260521-230148-97d5f8bd,2026-05-21,LA entitlement precedent accumulation,10,10,Broadly Confirmed,Los Angeles,,expanding,,5,0,0.5
20260522-230155-fb3b56b2,2026-05-22,LA entitlement precedent accumulation,11,11,Moderate Signal,Los Angeles,,expanding,,5,0,0.545
20260523-230152-45df883f,2026-05-23,LA entitlement precedent accumulation,10,10,Moderate Signal,Los Angeles,,fading,,4,0,0.6
20260524-230204-750df6c3,2026-05-24,LA entitlement precedent accumulation,11,11,Moderate Signal,Los Angeles,,expanding,,4,0,0.545
20260525-230212-45b2fe12,2026-05-25,LA entitlement precedent accumulation,11,11,Moderate Signal,Los Angeles,,stable,,4,0,0.545
20260526-060516-8f6cea4b,2026-05-26,LA entitlement precedent accumulation,11,11,Moderate Signal,Los Angeles,,stable,,4,0,0.545
20260526-081038-35a22dfb,2026-05-26,LA entitlement precedent accumulation,11,11,Moderate Signal,Los Angeles,,stable,,4,0,0.545
20260526-230211-c37354de,2026-05-26,LA entitlement precedent accumulation,12,12,Moderate Signal,Los Angeles,,expanding,,4,0,0.583
20260527-013618-38446781,2026-05-27,LA entitlement precedent accumulation,12,12,Moderate Signal,Los Angeles,,stable,,4,0,0.583
20260527-230207-4be4208e,2026-05-27,LA entitlement precedent accumulation,12,12,Broadly Confirmed,Los Angeles,,stable,,5,0,0.5
20260528-230155-27f9735b,2026-05-28,LA entitlement precedent accumulation,9,9,Moderate Signal,California,,fading,,4,0,0.556
20260529-230138-14a22af3,2026-05-29,LA entitlement precedent accumulation,10,10,Moderate Signal,Los Angeles,,expanding,,5,0,0.6
