run_date,run_id,primary_topic,article_count,high_confidence_count,medium_confidence_count,low_confidence_count,unknown_count,top_markets,top_sources
2026-08-24,20260824-232222-e00277dc,transaction_market,14,3,8,3,0,Other / Unknown (3); Los Angeles / California (2); California (2); Baton Rouge / Louisiana (1); Louisiana (1),REBusiness Online (3); Yield PRO (3); Connect CRE Orange County (2); Connect CRE Apartments (2); Connect CRE California (1)
2026-08-24,20260824-232222-e00277dc,development_pipeline,13,0,7,6,0,Other / Unknown (5); Los Angeles / California (2); Dallas / Texas (2); Miami / Florida (1); Atlanta / Georgia (1),NAHB Eye on Housing - Multifamily (3); Yield PRO (3); Urbanize LA (1); Connect CRE Apartments (1); Connect CRE South Florida (1)
2026-08-24,20260824-232222-e00277dc,supply_demand,11,0,0,11,0,Other / Unknown (7); National (3); Atlanta / Georgia (1),NAHB Eye on Housing - Multifamily (8); Multifamily Executive (2); Connect CRE Atlanta (1)
2026-08-24,20260824-232222-e00277dc,capital_markets,7,0,5,2,0,New York (1); Colorado (1); Seattle (1); Phoenix / Arizona (1); Other / Unknown (1),REBusiness Online (2); Connect CRE South Florida (2); Connect CRE (1); Connect CRE Apartments (1); Commercial Observer (1)
2026-08-24,20260824-232222-e00277dc,institutional_capital,6,2,3,1,0,California (2); Miami / Florida (1); Texas (1); Other / Unknown (1); Nashville / Tennessee (1),Multifamily Dive (2); REBusiness Online (1); Connect CRE Orange County (1); Connect CRE California (1); Yield PRO (1)
2026-08-24,20260824-232222-e00277dc,macro_financing,6,0,0,0,6,Los Angeles / California (2); Other / Unknown (2); Washington DC (1); Atlanta / Georgia (1),Urbanize LA (2); NAHB Eye on Housing - Multifamily (2); Multifamily Dive (1); Connect CRE Atlanta (1)
2026-08-24,20260824-232222-e00277dc,gp_activity,5,0,0,1,4,National (2); Other / Unknown (1); Miami / Florida (1); Atlanta / Georgia (1),NAHB Eye on Housing - Multifamily (3); Connect CRE South Florida (1); Multifamily Dive (1)
2026-08-24,20260824-232222-e00277dc,other,5,0,0,0,5,Los Angeles / California (1); Houston / Texas (1); National (1); Beverly Hills / California (1); Other / Unknown (1),Urbanize LA (3); Bisnow (2)
2026-08-24,20260824-232222-e00277dc,research_data,4,0,0,0,4,Los Angeles / California (2); Other / Unknown (2),Urbanize LA (4)
2026-08-24,20260824-232222-e00277dc,operations_property_management,1,0,0,0,1,Colorado (1),Yield PRO (1)
