run_date,run_id,signal_name,signal_category,market,normalized_signal_key,source_count_today,article_count_today,article_count_7d,article_count_30d,source_count_7d,source_count_30d,first_seen_date,last_seen_date,days_observed_7d,days_observed_30d,persistence_score,momentum_score,freshness_score,diversity_score,memory_status,memory_reason
2026-05-30,20260530-230208-ccf8785d,Development Strategy,Regulation Risk; Developer Strategy,Other / Unknown,regulation_risk_developer_strategy_development_strategy_other_unknown,0,0,6,11,2,2,2026-05-19,2026-05-26,3,8,100,58,44,50,Persistent Signal,최근 30일 중 8일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-05-30,20260530-230208-ccf8785d,Deal Size Signal,Institutional Flow,National,institutional_flow_deal_size_signal_national,0,0,4,8,2,2,2026-05-20,2026-05-26,3,7,100,50,44,50,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-05-30,20260530-230208-ccf8785d,Macro & Financing,Institutional Flow,National,institutional_flow_macro_financing_national,0,0,4,8,2,3,2026-05-20,2026-05-26,3,7,100,50,44,75,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-05-30,20260530-230208-ccf8785d,Macro & Financing,Financing Risk; Developer Strategy,Sun Belt,financing_risk_developer_strategy_macro_financing_sun_belt,0,0,6,14,3,4,2026-05-19,2026-05-26,3,7,100,40,44,100,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-05-30,20260530-230208-ccf8785d,Rent Growth Signal,Supply Pressure,Other / Unknown,supply_pressure_rent_growth_signal_other_unknown,0,0,10,25,1,1,2026-05-19,2026-05-26,3,8,100,37,44,25,Persistent Signal,최근 30일 중 8일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-05-30,20260530-230208-ccf8785d,Deal Size Signal,Institutional Flow,California,institutional_flow_deal_size_signal_california,0,0,3,8,2,3,2026-05-19,2026-05-26,3,8,100,34,44,75,Persistent Signal,최근 30일 중 8일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-05-30,20260530-230208-ccf8785d,Development Strategy,Developer Strategy,National,developer_strategy_development_strategy_national,0,0,6,16,1,1,2026-05-19,2026-05-26,3,8,100,34,44,25,Persistent Signal,최근 30일 중 8일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-05-30,20260530-230208-ccf8785d,Macro & Financing,Financing Risk; Rent Growth / Demand,National,financing_risk_rent_growth_demand_macro_financing_national,0,0,3,8,1,1,2026-05-19,2026-05-26,3,8,100,34,44,25,Persistent Signal,최근 30일 중 8일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-05-30,20260530-230208-ccf8785d,Macro & Financing,Developer Strategy,Sun Belt,developer_strategy_macro_financing_sun_belt,0,0,3,8,1,1,2026-05-19,2026-05-26,3,8,100,34,44,25,Persistent Signal,최근 30일 중 8일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-05-30,20260530-230208-ccf8785d,Macro & Financing,Financing Risk; Institutional Flow,New York,financing_risk_institutional_flow_macro_financing_new_york,0,0,3,8,1,1,2026-05-19,2026-05-26,3,8,100,34,44,25,Persistent Signal,최근 30일 중 8일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
