run_date,run_id,canonical_article_id,related_canonical_article_ids,primary_display_section,repeat_exposure_status,published_date_normalized,collected_date_normalized,article_age_days,freshness_bucket,freshness_status,freshness_reason,freshness_score,article_integrity_status,access_status,extracted_city,extracted_state,extracted_market_reason,gp_name,canonical_gp_name,lead_entity,counterparties,entity_extraction_method,entity_extraction_confidence,entity_extraction_reason,has_project_anchor,project_anchor_reason,project_anchor_confidence,development_lifecycle_hint,residential_sector,activity_type,market_focus,source_categories,source_platform_types,article_count,average_relevance_score,institutional_signal_strength,growth_or_defensive_signal,likely_strategy,potential_implication_for_woomi,recommended_follow_up,strategic_priority_label
2026-06-10,20260610-115707-124173e2,art_ac0d39dac00725ad,art_ac0d39dac00725ad; art_317a006b785fbe0a; art_7100d18c9a0ec2ab; art_1cf4b76f3046105a,Development Activity,new_or_fresh,2026-06-09,2026-06-10,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,valid,open,Dallas,Texas,matched city/metro keyword: Dallas,JLL,JLL,JLL,Refinance Kearny Mesa Luxury Apartments Affinius Capital; AAA Management,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 288-unit; project/asset term: community,high,Project / Asset,Apartment,acquisition; disposition / exit; refinancing; operational technology / AI adoption,California,Regional / California / LA Sources; Site / Parcel Source Expansion,Other,4,96.2,100,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Immediate Watch
2026-06-10,20260610-115707-124173e2,art_e7c39eb66df0ed51,art_2a4868a7de4dd958; art_11e4e1f8d97d4c51; art_daedb2c4f5c4a8c6; art_e7c39eb66df0ed51,Development Activity,new_or_fresh,2026-06-09,2026-06-10,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,valid,open,Nashville,Tennessee,matched city/metro keyword: Nashville,Marcus & Millichap,Marcus & Millichap,Marcus & Millichap,IPA; Burlingame Multifamily IPA Capital; Institutional Property Advisors,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 94-unit,medium,Project / Asset,Apartment,disposition / exit; refinancing; operational technology / AI adoption,California,Core Multifamily News; Site / Parcel Source Expansion,Other,4,82.5,100,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Immediate Watch
2026-06-10,20260610-115707-124173e2,art_6e05306f1e52dc16,art_6e05306f1e52dc16; art_86bc6f4162c00691,Development Activity,new_or_fresh,2026-06-09,2026-06-10,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,valid,open,,California,matched state keyword: California,CBRE,CBRE,CBRE,Former Bank; Paul Bubny Former Bank; Merchants Bank,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,address/street: 4861 liverpool st; site/parcel signal: site; project/asset term: development,high,Site Acquisition / Site Control,Apartment,acquisition; disposition / exit; operational technology / AI adoption,California,Core Multifamily News; Site / Parcel Source Expansion,Other,2,78.5,99,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,review LA / California development activity,Immediate Watch
2026-06-10,20260610-115707-124173e2,art_e7c39eb66df0ed51,art_2a4868a7de4dd958; art_e7c39eb66df0ed51,Development Activity,new_or_fresh,2026-06-09,2026-06-10,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,valid,open,Nashville,Tennessee,matched city/metro keyword: Nashville,IPA,IPA,IPA,Marcus & Millichap; Burlingame Multifamily IPA Capital; Institutional Property Advisors,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 94-unit,medium,Project / Asset,Apartment,disposition / exit; refinancing; operational technology / AI adoption,California,Core Multifamily News; Site / Parcel Source Expansion,Other,2,85.0,99,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Immediate Watch
2026-06-10,20260610-115707-124173e2,art_851638dc2f515d04,art_435b565b5b5725f5; art_d6261cd3ac1491b5; art_851638dc2f515d04,GP / Capital Activity,acceptable_repeat,2026-06-08,2026-06-10,2,fresh_0_3d,fresh,published date parsed; article age 2 day(s),74,valid,open,Houston,Texas,matched city/metro keyword: Houston,Walker & Dunlop,Walker & Dunlop,Walker & Dunlop,Dunlop Affordable Bridge Capital; Standard Communities,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",False,"no identifiable project, asset, site, address, or unit-count anchor",none,,Affordable Housing,refinancing; JV / partnership; operational technology / AI adoption,New York,Core Multifamily News; Site / Parcel Source Expansion,Other,3,70.7,97,Defensive Capital Preservation,operational efficiency push,potential JV partnership signal,monitor JV activity,Immediate Watch
2026-06-10,20260610-115707-124173e2,art_e91b2ccca72869fc,art_919fdf5c7b7a8c0e; art_e91b2ccca72869fc,Development Activity,new_or_fresh,2026-06-09,2026-06-10,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,valid,open,,Florida,matched state keyword: Florida,Berkadia,Berkadia,Berkadia,JV; Courtesy Constellation Group,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 74-unit; execution milestone: to build; project/asset term: project,high,Construction Start,Mixed-Use Residential,refinancing; JV / partnership; capital raise; operational technology / AI adoption,Miami / Florida,Core Multifamily News; Site / Parcel Source Expansion,Other,2,87.0,89,Defensive Capital Preservation,operational efficiency push,potential JV partnership signal,monitor JV activity,Immediate Watch
2026-06-10,20260610-115707-124173e2,art_d808e8e7bf82166c,art_d808e8e7bf82166c,GP / Capital Activity,new_or_fresh,2026-06-09,2026-06-10,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,valid,open,,,used broad market bucket: National,Kennedy Wilson,Kennedy Wilson,Kennedy Wilson,,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",False,"no identifiable project, asset, site, address, or unit-count anchor",none,,Apartment,JV / partnership; capital raise; operational technology / AI adoption,National,Site / Parcel Source Expansion,Other,1,76.0,85,Operational Optimization,operational efficiency push,potential JV partnership signal,monitor JV activity,Immediate Watch
2026-06-10,20260610-115707-124173e2,art_7100d18c9a0ec2ab,art_7100d18c9a0ec2ab,Development Activity,acceptable_repeat,2026-06-08,2026-06-10,2,fresh_0_3d,fresh,published date parsed; article age 2 day(s),74,valid,open,,California,matched state keyword: California,Affinius Capital,Affinius Capital,Affinius Capital,JLL; Refinance Kearny Mesa Luxury Apartments Affinius Capital; AAA Management,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 302-unit; project/asset term: apartments,high,Project Financing / Capital Event,Apartment,refinancing; operational technology / AI adoption,California,Regional / California / LA Sources,Other,1,100.0,83,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Immediate Watch
2026-06-10,20260610-115707-124173e2,art_f0e5befbb21a23aa,art_f0e5befbb21a23aa,Development Activity,repeat_penalized,2026-05-27,2026-06-10,14,recent_4_14d,recent,published date parsed; article age 14 day(s),55,valid,open,,California,matched state keyword: California,Freestone Capital,Freestone Capital,Freestone Capital,Recapitalize Affordable Properties; Paul Bubny PEF Advisors; Recapitalize Affordable Properties Preservation Equity Fund Advisors,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,project/asset term: apartments,medium,Project Financing / Capital Event,Affordable Housing,recapitalization; JV / partnership; capital raise; operational technology / AI adoption,California,Site / Parcel Source Expansion,Other,1,84.0,83,Distressed Opportunity Positioning,distressed recapitalization,potential JV partnership signal,monitor JV activity,Immediate Watch
2026-06-10,20260610-115707-124173e2,art_f0e5befbb21a23aa,art_f0e5befbb21a23aa,Development Activity,repeat_penalized,2026-05-27,2026-06-10,14,recent_4_14d,recent,published date parsed; article age 14 day(s),55,valid,open,,California,matched state keyword: California,PEF Advisors,PEF Advisors,PEF Advisors,Freestone Capital; Recapitalize Affordable Properties; Paul Bubny PEF Advisors; Recapitalize Affordable Properties Preservation Equity Fund Advisors,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,project/asset term: apartments,medium,Project Financing / Capital Event,Affordable Housing,recapitalization; JV / partnership; capital raise; operational technology / AI adoption,California,Site / Parcel Source Expansion,Other,1,84.0,83,Distressed Opportunity Positioning,distressed recapitalization,potential JV partnership signal,monitor JV activity,Immediate Watch
2026-06-10,20260610-115707-124173e2,art_2a4868a7de4dd958,art_2a4868a7de4dd958,Development Activity,new_or_fresh,2026-06-09,2026-06-10,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,valid,open,,California,matched state keyword: California,Paul Bubny IPA Capital,Paul Bubny IPA Capital,Paul Bubny IPA Capital,IPA; Marcus & Millichap; Burlingame Multifamily IPA Capital,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 268-unit; project/asset term: apartments,high,Project / Asset,Apartment,refinancing; operational technology / AI adoption,California,Site / Parcel Source Expansion,Other,1,100.0,83,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Immediate Watch
2026-06-10,20260610-115707-124173e2,art_317a006b785fbe0a,art_317a006b785fbe0a,Development Activity,repeat_penalized,2026-04-29,2026-06-10,42,old_31d_plus,old,published date parsed; article age 42 day(s),5,valid,open,,California,matched state keyword: California,Santa Ana Multifamily JLL Capital,JLL,Santa Ana Multifamily JLL Capital,JLL,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 408-unit; project/asset term: project; project financing tied to anchor: construction loan,high,Project Financing / Capital Event,Apartment,refinancing; operational technology / AI adoption,California,Site / Parcel Source Expansion,Other,1,100.0,83,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Immediate Watch
2026-06-10,20260610-115707-124173e2,art_d6261cd3ac1491b5,art_d6261cd3ac1491b5,Development Activity,new_or_fresh,2026-06-09,2026-06-10,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,valid,open,,California,matched state keyword: California,Dunlop Capital,Dunlop Capital,Dunlop Capital,Walker & Dunlop; Standard Communities,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,project/asset term: community; project financing tied to anchor: construction loan,high,Project Financing / Capital Event,Affordable Housing,refinancing; operational technology / AI adoption,California,Core Multifamily News,Other,1,59.0,78,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Strategic Watch
