run_date,run_id,canonical_article_id,related_canonical_article_ids,primary_display_section,repeat_exposure_status,published_date_normalized,collected_date_normalized,article_age_days,freshness_bucket,freshness_status,freshness_reason,freshness_score,article_integrity_status,access_status,extracted_city,extracted_state,extracted_market_reason,gp_name,canonical_gp_name,lead_entity,counterparties,entity_extraction_method,entity_extraction_confidence,entity_extraction_reason,has_project_anchor,project_anchor_reason,project_anchor_confidence,development_lifecycle_hint,residential_sector,activity_type,market_focus,source_categories,source_platform_types,article_count,average_relevance_score,institutional_signal_strength,growth_or_defensive_signal,likely_strategy,potential_implication_for_woomi,recommended_follow_up,strategic_priority_label
2026-07-31,20260731-000252-c95dc796,art_c90a4cb76140baaa,art_7581087558bfcaf5; art_c90a4cb76140baaa; art_ded3fe39833c1b5c,Development Activity,new_or_fresh,2026-07-30,2026-07-31,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),88,valid,access_limited,Los Angeles,California,matched city/metro keyword: Los Angeles,CBRE,CBRE,CBRE,New York-based Sentinel Real Estate,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 46-story; address/street: 5350 wilshire blvd; execution milestone: groundbreaking; site/parcel signal: site; project/asset term: project,high,Construction Start,Apartment,acquisition; disposition / exit; development start; entitlement; operational technology / AI adoption,Los Angeles / California,Core Multifamily News; Regional / California / LA Sources,Other,3,100.0,97,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track construction innovation strategy,Immediate Watch
2026-07-31,20260731-000252-c95dc796,art_bfe497d70c428ee4,art_52d2f6b0f10cdfe2; art_752097260fe40f29; art_16eca4d1030b9520; art_a3d7c77d8a36975c; art_785654fa22ec974b; art_b914af68e0e48820; art_bfe497d70c428ee4; art_812d3cb8598ac606,Development Activity,new_or_fresh,2026-07-30,2026-07-31,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,valid,open,,,"no city, state, or market keyword detected",JLL,JLL,JLL,Mandrake Capital Partners; Balbec Capital; Stellar Communities,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 132-unit; project/asset term: community; project financing tied to anchor: acquisition financing,high,Project Financing / Capital Event,Apartment,acquisition; disposition / exit; refinancing; BTR expansion; JV / partnership; operational technology / AI adoption,Other / Unknown,Core Multifamily News; Site / Parcel Source Expansion,Other,8,91.8,97,Defensive Capital Preservation,BTR growth strategy,potential JV partnership signal,monitor JV activity,Immediate Watch
2026-07-31,20260731-000252-c95dc796,art_0120d515572ef2ed,art_51fef87433b81692; art_0120d515572ef2ed; art_a4df298fada64f39; art_968e0d89bbcb09f0; art_e13a4708677b6791; art_6595ac6c3493f1ac; art_cb63b6f9c3c31bca; art_591ed9a1e6573c33,Development Activity,new_or_fresh,2026-07-30,2026-07-31,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,valid,open,Los Angeles,California,matched city/metro keyword: Los Angeles,Marcus & Millichap,Marcus & Millichap,Marcus & Millichap,MMCC,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,project/asset term: apartments,medium,Project / Asset,Apartment,acquisition; disposition / exit; refinancing; capital raise; operational technology / AI adoption,Other / Unknown,Core Multifamily News; Site / Parcel Source Expansion,Other,8,85.6,97,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Immediate Watch
2026-07-31,20260731-000252-c95dc796,art_bfe497d70c428ee4,art_52d2f6b0f10cdfe2; art_bfe497d70c428ee4,Development Activity,new_or_fresh,2026-07-30,2026-07-31,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,valid,open,,,"no city, state, or market keyword detected",Balbec Capital,Balbec Capital,Balbec Capital,Mandrake Capital Partners; JLL,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 132-unit; project/asset term: community; project financing tied to anchor: acquisition financing,high,Project Financing / Capital Event,Multifamily,acquisition; disposition / exit; refinancing; JV / partnership; operational technology / AI adoption,Baton Rouge / Louisiana,Core Multifamily News,Other,2,91.5,89,Defensive Capital Preservation,operational efficiency push,potential JV partnership signal,monitor JV activity,Immediate Watch
2026-07-31,20260731-000252-c95dc796,art_af936828d39943e9,art_af936828d39943e9,Development Activity,repeat_penalized,2026-07-15,2026-07-31,16,old_31d_plus,old,published date parsed; article age 16 day(s),5,valid,open,,California,matched state keyword: California,Bascom Group,Bascom Group,Bascom Group,,,,,True,unit/site count: 183-unit; project/asset term: community,high,Project / Asset,Apartment,acquisition; disposition / exit; refinancing; operational technology / AI adoption,California,Site / Parcel Source Expansion,Other,1,91.0,83,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Immediate Watch
2026-07-31,20260731-000252-c95dc796,art_195e49f75723614c,art_195e49f75723614c,GP / Capital Activity,repeat_penalized,2026-07-14,2026-07-31,17,old_31d_plus,old,published date parsed; article age 17 day(s),5,valid,open,,California,matched state keyword: California,"Milhaus Merges with SRG Residential, Will","Milhaus Merges with SRG Residential, Will","Milhaus Merges with SRG Residential, Will",SRG Residential; Will Acquire Broadshore Capital,title_lead_pattern,medium,Inferred entity from headline lead segment and capital-event verb.,True,project/asset term: apartments,medium,Project / Asset,Apartment,acquisition; operational technology / AI adoption,California,Site / Parcel Source Expansion,Other,1,67.0,82,Operational Optimization,operational efficiency push,competitive pressure indicator,review LA / California development activity,Immediate Watch
2026-07-31,20260731-000252-c95dc796,art_28f6ab6b419075f8,art_28f6ab6b419075f8,Development Activity,new_or_fresh,2026-07-30,2026-07-31,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,valid,open,,,"no city, state, or market keyword detected",Blackstone,Blackstone,Blackstone,Freddie Mac; Indianapolis Asset Residential; GE Capital,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,address/street: 500 bigleaf maple way; project/asset term: apartments,high,Project / Asset,Apartment,acquisition; refinancing,Other / Unknown,Core Multifamily News,Other,1,100.0,75,Defensive Capital Preservation,selective multifamily acquisition,pricing discovery reference,track refinancing pipeline,Immediate Watch
2026-07-31,20260731-000252-c95dc796,art_553e28c72375fba3,art_553e28c72375fba3,GP / Capital Activity,new_or_fresh,2026-07-30,2026-07-31,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,valid,open,,,"no city, state, or market keyword detected",Alliance Residential,Alliance Residential,Alliance Residential,,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",False,"no identifiable project, asset, site, address, or unit-count anchor",none,,Apartment,acquisition; disposition / exit; operational technology / AI adoption,Other / Unknown,Core Multifamily News,Other,1,75.0,73,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track construction innovation strategy,Strategic Watch
2026-07-31,20260731-000252-c95dc796,art_43641de8f10a1d27,art_43641de8f10a1d27,Development Activity,acceptable_repeat,2026-07-27,2026-07-31,4,fresh_0_3d,fresh,published date parsed; article age 4 day(s),70,valid,open,Phoenix,Arizona,matched city/metro keyword: Phoenix,Arcus Real Estate Capital,Arcus Real Estate Capital,Arcus Real Estate Capital,,capital_event_sentence,medium,Inferred entity from source text near capital-event language.,True,unit/site count: 334-unit; project/asset term: community,high,Project / Asset,BTR / Single-Family Rental,refinancing; BTR expansion; operational technology / AI adoption,Phoenix / Arizona,Site / Parcel Source Expansion,Other,1,94.0,73,Defensive Capital Preservation,BTR growth strategy,capital market sentiment indicator,track refinancing pipeline,Strategic Watch
2026-07-31,20260731-000252-c95dc796,art_d7d8176bdd750a59,art_d7d8176bdd750a59,Development Activity,repeat_penalized,2026-07-13,2026-07-31,18,old_31d_plus,old,published date parsed; article age 18 day(s),5,valid,open,Atlanta,Georgia,matched city/metro keyword: Atlanta,CIM Group,CIM Group,CIM Group,,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 12-story; execution milestone: construction start; project/asset term: project,high,Construction Start,Mixed-Use Residential,development start; operational technology / AI adoption,Atlanta / Georgia,Site / Parcel Source Expansion,Other,1,100.0,73,Operational Optimization,operational efficiency push,competitive pressure indicator,track construction innovation strategy,Strategic Watch
