run_date,run_id,primary_topic,article_count,high_confidence_count,medium_confidence_count,low_confidence_count,unknown_count,top_markets,top_sources
2026-06-01,20260601-230146-450c13c8,development_pipeline,23,2,10,11,0,Los Angeles / California (8); Other / Unknown (4); Atlanta / Georgia (3); San Francisco / California (2); Santa Monica / California (1),Urbanize LA (7); NAHB Eye on Housing - Multifamily (3); Bisnow (2); Connect CRE Apartments (2); Connect CRE (1)
2026-06-01,20260601-230146-450c13c8,capital_markets,15,8,7,0,0,California (5); Miami / Florida (3); Washington DC (1); New York City / New York (1); Sarasota / Florida (1),Yield PRO (5); Connect CRE Orange County (3); Connect CRE (2); Connect CRE South Florida (2); Commercial Observer (2)
2026-06-01,20260601-230146-450c13c8,supply_demand,15,1,4,10,0,Other / Unknown (8); National (5); Phoenix / Arizona (2),NAHB Eye on Housing - Multifamily (8); Multifamily Executive (2); Connect CRE Phoenix (2); Yield PRO (2); Connect CRE (1)
2026-06-01,20260601-230146-450c13c8,transaction_market,11,1,10,0,0,Atlanta / Georgia (3); Other / Unknown (3); California (2); Los Angeles / California (1); Houston / Texas (1),Connect CRE Charlotte (2); Connect CRE California (2); Connect CRE Apartments (2); Connect CRE (1); Yield PRO (1)
2026-06-01,20260601-230146-450c13c8,institutional_capital,9,0,5,4,0,Riverside / California (2); New York (2); Other / Unknown (2); Santa Monica / California (1); Houston / Texas (1),REBusiness Online (2); Urbanize LA (1); Connect CRE California (1); Yield PRO (1); Connect CRE Apartments (1)
2026-06-01,20260601-230146-450c13c8,gp_activity,6,0,0,0,6,National (2); Other / Unknown (1); Miami / Florida (1); Las Vegas / Nevada (1); Atlanta / Georgia (1),NAHB Eye on Housing - Multifamily (3); Connect CRE South Florida (1); Multifamily Dive (1); Connect CRE Atlanta (1)
