run_date,run_id,run_timestamp,gp_name,canonical_gp_name,gp_activity_score,institutional_relationship_score,capital_flow_score,regional_relevance_score,residential_sector_score,partnership_signal_score,innovation_signal_score,california_la_relevance_score,execution_signal_score,momentum_signal_score,emerging_gp_score,gp_tier,primary_market,residential_sector_focus,source_platform_types,institutional_partners,capital_sources,detected_strategies,innovation_signals,execution_signals,california_la_presence,partnership_signal,momentum_label,likely_growth_direction,potential_woomi_use_case,recommended_follow_up,confidence_level,special_labels
2026-09-15,20260915-011215-8a5eff01,2026-09-15 01:12:15,Marcus & Millichap,Marcus & Millichap,100,100,90,100,70,65,0,100,0,67,74,Tier 2 High Potential GP,California,Affordable Housing,Other,freddie mac,freddie mac,Acquisition; Capital Inflow; Disposition / Exit; acquisition; disposition / exit; refinancing; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,Moderate partnership signal,Accelerating,Institutional-backed regional expansion,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; Affordable Housing Specialist; LA Strategic Watch
2026-09-15,20260915-011215-8a5eff01,2026-09-15 01:12:15,Tishman Speyer,Tishman Speyer,83,94,90,100,90,65,0,100,0,60,74,Tier 2 High Potential GP,California,Apartment,Other,None detected,None detected,Capital Inflow; acquisition; refinancing; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,Moderate partnership signal,Accelerating,Institutional-backed regional expansion,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-09-15,20260915-011215-8a5eff01,2026-09-15 01:12:15,Freddie Mac,Freddie Mac,89,100,90,55,90,65,0,100,0,63,71,Tier 2 High Potential GP,Los Angeles / California,Apartment,Other,freddie mac,freddie mac,Acquisition; Capital Inflow; acquisition; disposition / exit; refinancing; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,Moderate partnership signal,Accelerating,California / LA strategic positioning,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-09-15,20260915-011215-8a5eff01,2026-09-15 01:12:15,Essex Property Trust,Essex Property Trust,62,92,75,55,90,70,0,100,0,47,67,Tier 3 Monitoring GP,Los Angeles / California,Multifamily,Other,essex,essex,Capital Outflow / Exit; Disposition / Exit; disposition / exit; stable platform monitoring,None detected,None detected,High,Moderate partnership signal,Improving,California / LA strategic positioning,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-09-15,20260915-011215-8a5eff01,2026-09-15 01:12:15,JLL,JLL,70,70,90,55,55,100,0,90,0,55,65,Tier 3 Monitoring GP,Dallas / Texas,Mixed-Use Residential,Other,jll,jll,Refinancing; Refinancing / Recapitalization; operational efficiency push; refinancing; JV / partnership; operational technology / AI adoption,None detected,None detected,High,Strong partnership signal,Improving,California / LA strategic positioning,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; LA Strategic Watch; Distressed Opportunity Candidate
2026-09-15,20260915-011215-8a5eff01,2026-09-15 01:12:15,WNC,WNC,83,99,90,100,70,0,0,100,0,60,63,Tier 3 Monitoring GP,California,Affordable Housing,Other,None detected,None detected,Capital Inflow; capital raise; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,No clear partnership signal,Accelerating,Institutional-backed regional expansion,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; Affordable Housing Specialist; LA Strategic Watch
2026-09-15,20260915-011215-8a5eff01,2026-09-15 01:12:15,North River Partners,North River Partners,73,88,90,55,80,100,0,0,0,56,62,Tier 3 Monitoring GP,New York,BTR / Single-Family Rental,Other,None detected,None detected,BTR growth strategy; Capital Inflow; acquisition; refinancing; BTR expansion; JV / partnership; capital raise; operational technology / AI adoption,None detected,None detected,Low,Strong partnership signal,Improving,BTR / SFR platform growth,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; Emerging BTR Platform
2026-09-15,20260915-011215-8a5eff01,2026-09-15 01:12:15,Alliance Residential,Alliance Residential,71,81,90,100,90,0,0,100,0,55,61,Tier 3 Monitoring GP,California,Multifamily,Other,None detected,None detected,Development Capital Deployment; Entitlement / Permitting; entitlement; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,No clear partnership signal,Improving,Institutional-backed regional expansion,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-09-15,20260915-011215-8a5eff01,2026-09-15 01:12:15,Bridge Investment Group,Bridge Investment Group,73,91,90,55,55,100,0,0,0,56,60,Tier 3 Monitoring GP,Phoenix / Arizona,Mixed-Use Residential,Other,None detected,None detected,Refinancing; Refinancing / Recapitalization; operational efficiency push; refinancing; JV / partnership; operational technology / AI adoption,None detected,None detected,Low,Strong partnership signal,Improving,Distressed opportunity positioning,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; Distressed Opportunity Candidate
2026-09-15,20260915-011215-8a5eff01,2026-09-15 01:12:15,Mike Boyd Saratoga Capital,Mike Boyd Saratoga Capital,73,82,75,55,90,100,0,0,0,52,60,Tier 3 Monitoring GP,Atlanta / Georgia,Apartment,Other,None detected,None detected,Capital Outflow / Exit; disposition / exit; JV / partnership; distressed opportunity; operational technology / AI adoption; distressed recapitalization,None detected,None detected,Low,Strong partnership signal,Improving,Distressed opportunity positioning,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; Distressed Opportunity Candidate
