run_date,run_id,primary_topic,article_count,high_confidence_count,medium_confidence_count,low_confidence_count,unknown_count,top_markets,top_sources
2026-07-17,20260717-000048-21c14333,transaction_market,20,6,6,8,0,Other / Unknown (6); Virginia (2); Los Angeles / California (2); Phoenix / Arizona (2); California (2),Yield PRO (5); REBusiness Online (4); Connect CRE Phoenix (2); Multifamily Dive (2); Commercial Observer (1)
2026-07-17,20260717-000048-21c14333,supply_demand,14,1,0,13,0,Other / Unknown (7); National (4); Dallas / Texas (1); Sun Belt (1); Miami / Florida (1),NAHB Eye on Housing - Multifamily (8); Multifamily Executive (2); Bisnow (1); Connect CRE Texas (1); Connect CRE (1)
2026-07-17,20260717-000048-21c14333,gp_activity,12,0,0,1,11,National (3); Other / Unknown (2); Atlanta / Georgia (1); Sun Belt (1); Miami / Florida (1),Multifamily Dive (4); NAHB Eye on Housing - Multifamily (3); Connect CRE Atlanta (1); REBusiness Online (1); Connect CRE South Florida (1)
2026-07-17,20260717-000048-21c14333,capital_markets,10,5,4,1,0,Miami / Florida (3); Washington DC (2); New York (1); New York City / New York (1); Dallas / Texas (1),Connect CRE Apartments (3); Connect CRE South Florida (3); Commercial Observer (2); Connect CRE (1); Connect CRE Texas (1)
2026-07-17,20260717-000048-21c14333,development_pipeline,9,1,5,3,0,Other / Unknown (3); San Francisco / California (1); Atlanta / Georgia (1); Los Angeles / California (1); Virginia (1),Yield PRO (3); NAHB Eye on Housing - Multifamily (2); SF YIMBY (1); Connect CRE Atlanta (1); Connect CRE California (1)
2026-07-17,20260717-000048-21c14333,macro_financing,6,0,0,0,6,Other / Unknown (4); Dallas / Texas (1); Los Angeles / California (1),NAHB Eye on Housing - Multifamily (2); Yield PRO (1); Bisnow (1); Urbanize LA (1); Multifamily Executive (1)
2026-07-17,20260717-000048-21c14333,research_data,5,0,0,0,5,Los Angeles / California (4); National (1),Urbanize LA (4); Bisnow (1)
2026-07-17,20260717-000048-21c14333,institutional_capital,4,0,3,1,0,Riverside / California (1); Other / Unknown (1); Los Angeles / California (1); California (1),Connect CRE Orange County (2); REBusiness Online (1); Bisnow (1)
2026-07-17,20260717-000048-21c14333,other,3,0,0,0,3,Texas (1); Washington DC (1); Atlanta / Georgia (1),Urbanize LA (2); Bisnow (1)
2026-07-17,20260717-000048-21c14333,entitlement_policy,1,0,1,0,0,Denver / Colorado (1),Commercial Observer (1)
