run_date,run_id,signal_name,signal_category,market,normalized_signal_key,source_count_today,article_count_today,article_count_7d,article_count_30d,source_count_7d,source_count_30d,first_seen_date,last_seen_date,days_observed_7d,days_observed_30d,persistence_score,momentum_score,freshness_score,diversity_score,memory_status,memory_reason
2026-08-17,20260817-232239-1f6ae8e2,Development Strategy,gp_activity,Miami / Florida,gp_activity_development_strategy_miami_florida,1,1,4,18,2,2,2026-06-01,2026-08-17,4,18,100,90,100,50,Persistent Signal,최근 30일 중 18일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-08-17,20260817-232239-1f6ae8e2,Development Strategy,gp_activity,Dallas / Texas,gp_activity_development_strategy_dallas_texas,0,0,8,15,2,2,2026-06-04,2026-08-16,6,12,100,90,86,50,Persistent Signal,최근 30일 중 12일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-08-17,20260817-232239-1f6ae8e2,Rent Growth Signal,other,Los Angeles / California,other_rent_growth_signal_los_angeles_california,1,1,5,10,1,1,2026-06-06,2026-08-17,5,10,100,90,100,25,Persistent Signal,최근 30일 중 10일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-08-17,20260817-232239-1f6ae8e2,acquisition,transaction_market,San Francisco / California,transaction_market_acquisition_san_francisco_california,1,1,5,8,3,4,2026-06-20,2026-08-17,5,8,100,90,100,100,Persistent Signal,최근 30일 중 8일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-08-17,20260817-232239-1f6ae8e2,delivery,development_pipeline,Dallas / Texas,development_pipeline_delivery_dallas_texas,0,0,3,10,1,4,2026-06-17,2026-08-16,3,9,100,90,86,100,Persistent Signal,최근 30일 중 9일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-08-17,20260817-232239-1f6ae8e2,disposition,transaction_market,Los Angeles / California,transaction_market_disposition_los_angeles_california,2,2,4,17,3,4,2026-06-01,2026-08-17,3,16,100,90,100,100,Persistent Signal,최근 30일 중 16일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-08-17,20260817-232239-1f6ae8e2,disposition,development_pipeline,Los Angeles / California,development_pipeline_disposition_los_angeles_california,0,0,6,15,3,3,2026-06-01,2026-08-16,6,14,100,90,86,75,Persistent Signal,최근 30일 중 14일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-08-17,20260817-232239-1f6ae8e2,joint_venture,institutional_capital,California,institutional_capital_joint_venture_california,2,2,7,8,3,3,2026-05-27,2026-08-17,6,7,100,90,100,75,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-08-17,20260817-232239-1f6ae8e2,lender_activity,institutional_capital,Other / Unknown,institutional_capital_lender_activity_other_unknown,1,1,6,9,1,4,2026-05-27,2026-08-17,6,9,100,90,100,100,Persistent Signal,최근 30일 중 9일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-08-17,20260817-232239-1f6ae8e2,public_subsidy,gp_activity,Other / Unknown,gp_activity_public_subsidy_other_unknown,0,0,6,11,1,1,2026-06-08,2026-08-16,6,11,100,90,86,25,Persistent Signal,최근 30일 중 11일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-08-17,20260817-232239-1f6ae8e2,refinancing,capital_markets,Houston / Texas,capital_markets_refinancing_houston_texas,0,0,7,8,3,4,2026-06-23,2026-08-16,6,7,100,90,86,100,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-08-17,20260817-232239-1f6ae8e2,Developer Strategy,gp_activity,Miami / Florida,gp_activity_developer_strategy_miami_florida,1,1,7,11,1,2,2026-08-07,2026-08-17,7,11,100,80,100,50,Persistent Signal,최근 30일 중 11일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-08-17,20260817-232239-1f6ae8e2,disposition,transaction_market,California,transaction_market_disposition_california,2,2,12,54,4,5,2026-05-27,2026-08-17,7,27,100,79,100,100,Persistent Signal,최근 30일 중 27일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-08-17,20260817-232239-1f6ae8e2,acquisition,transaction_market,Phoenix / Arizona,transaction_market_acquisition_phoenix_arizona,1,2,17,35,2,4,2026-06-01,2026-08-17,7,16,100,78,100,100,Persistent Signal,최근 30일 중 16일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-08-17,20260817-232239-1f6ae8e2,acquisition,transaction_market,Other / Unknown,transaction_market_acquisition_other_unknown,2,2,8,41,4,7,2026-05-27,2026-08-17,6,23,100,74,100,100,Persistent Signal,최근 30일 중 23일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-08-17,20260817-232239-1f6ae8e2,disposition,transaction_market,Other / Unknown,transaction_market_disposition_other_unknown,0,0,11,38,4,5,2026-05-27,2026-08-16,6,24,100,73,86,100,Persistent Signal,최근 30일 중 24일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-08-17,20260817-232239-1f6ae8e2,acquisition,development_pipeline,Los Angeles / California,development_pipeline_acquisition_los_angeles_california,0,0,3,8,1,3,2026-08-01,2026-08-16,3,8,100,70,86,75,Persistent Signal,최근 30일 중 8일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-08-17,20260817-232239-1f6ae8e2,joint_venture,institutional_capital,New York City / New York,institutional_capital_joint_venture_new_york_city_new_york,0,0,3,8,1,3,2026-06-07,2026-08-16,3,7,100,70,86,75,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
