run_date,run_id,run_timestamp,regime,previous_score,latest_score,score_change,momentum_label
2026-09-25,20260925-011011-837bf40e,2026-09-25 01:10:11,Selective Capital Re-entry,89,89,0,Stable
2026-09-25,20260925-011011-837bf40e,2026-09-25 01:10:11,Financing Stress,75,81,6,Improving
2026-09-25,20260925-011011-837bf40e,2026-09-25 01:10:11,Developer Strategy Shift,51,59,8,Improving
2026-09-25,20260925-011011-837bf40e,2026-09-25 01:10:11,Policy / Entitlement Watch,41,55,14,Improving
2026-09-25,20260925-011011-837bf40e,2026-09-25 01:10:11,Supply Pressure,54,41,-13,Weakening
2026-09-25,20260925-011011-837bf40e,2026-09-25 01:10:11,Construction Cost Pressure,14,5,-9,Weakening
2026-09-25,20260925-011011-837bf40e,2026-09-25 01:10:11,Stable Monitoring Environment,0,0,0,Stable
