run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,source_entity,canonical_source_entity,source_entity_type,target_entity,canonical_target_entity,target_entity_type,relationship_type,market,deal_type,evidence_article_title,url,relationship_strength_score,entity_resolution_confidence,canonical_relationship_event_count,relationship_repeat_strength,confirmed_multi_source_relationship,woomi_strategic_relevance,recommended_follow_up
2026-07-05,20260705-000252-290c6e5e,PRJ-20260705-0049,Disposition / Exit - California - Former Bank Branch Positioned as Development Opportunity in Garden Grove Sale,100,CBRE,CBRE,Developer / GP,cbre,CBRE,Lender / Debt Provider,Financing Relationship,California,Disposition / Exit,Yorba Linda Parking Lot Sells for Townhome Redevelopment,https://www.connectcre.com/stories/yorba-linda-parking-lot-sells-for-townhome-redevelopment/,100,75,1,100,No,Relevant to LA / California strategy,Track GP relationship history
2026-07-05,20260705-000252-290c6e5e,PRJ-20260705-0050,General Project Signal - California - Northmarq Secures Fannie Mae DUS Financing for National City Apartments,100,Fannie Mae,Fannie Mae,Developer / GP,fannie mae,Fannie Mae,Lender / Debt Provider,Financing Relationship,California,General Project Signal,Northmarq Secures Fannie Mae DUS Financing for National City Apartments,https://www.connectcre.com/stories/northmarq-secures-fannie-mae-dus-financing-for-national-city-apartments/,99,75,1,99,No,Relevant to LA / California strategy,Track GP relationship history
2026-07-05,20260705-000252-290c6e5e,PRJ-20260705-0080,"Office-to-Residential Conversion - Los Angeles / California - Kennedy Wilson, Jamison To Convert LA World Trade Center In 4,000-Unit Affordable Housing...",100,Kennedy Wilson,Kennedy Wilson,Developer / GP,kennedy wilson,Kennedy Wilson,Institutional Capital,Capital Flow,Los Angeles / California,Office-to-Residential Conversion,New details for plans to convert L.A. World Trade center into affordable housing,https://la.urbanize.city/post/new-details-plans-convert-la-world-trade-center-affordable-housing,94,75,1,94,No,Relevant to capital markets monitoring,Track GP relationship history
2026-07-05,20260705-000252-290c6e5e,PRJ-20260705-0128,Acquisition - Phoenix / Arizona - Inland Real Estate Group Offloads Lakewood Apartment Community for $71.5M,100,CBRE,CBRE,Developer / GP,cbre,CBRE,Lender / Debt Provider,Financing Relationship,Phoenix / Arizona,Acquisition,Inland Real Estate Group Offloads Lakewood Apartment Community for $71.5M,https://www.connectcre.com/stories/inland-real-estate-offloads-lakewood-apartment-community-for-71-5m/,93,75,1,93,No,Relevant to capital markets monitoring,Track GP relationship history
2026-07-05,20260705-000252-290c6e5e,PRJ-20260705-0061,Refinancing - Denver / Colorado - Prime Finance Refis Denver-Area Apartments With $46M Loan,100,Walker & Dunlop,Walker & Dunlop,Developer / GP,walker & dunlop,walker & dunlop,Lender / Debt Provider,Financing Relationship,Denver / Colorado,Refinancing,Prime Finance Refis Denver-Area Apartments With $46M Loan,https://commercialobserver.com/2026/07/prime-finance-denver-colorado-apartments/,93,40,1,93,No,Relevant to capital markets monitoring,Track GP relationship history
2026-07-05,20260705-000252-290c6e5e,PRJ-20260705-0137,"Refinancing - Riverside / California - PCCP Provides $61.3M Loan to Refinance 287-Unit Apartment Community in Washington, D.C.",100,Kennedy Wilson,Kennedy Wilson,Developer / GP,kennedy wilson,Kennedy Wilson,Institutional Capital,Financing Relationship,Riverside / California,Refinancing,"PCCP Provides $61.3M Loan to Refinance 287-Unit Apartment Community in Washington, D.C.",https://rebusinessonline.com/pccp-provides-61-3m-loan-to-refinance-287-unit-apartment-community-in-washington-d-c/,92,75,1,92,No,Relevant to capital markets monitoring,Track GP relationship history
2026-07-05,20260705-000252-290c6e5e,PRJ-20260705-0137,"Refinancing - Riverside / California - PCCP Provides $61.3M Loan to Refinance 287-Unit Apartment Community in Washington, D.C.",100,Kennedy Wilson,Kennedy Wilson,Developer / GP,pgim,pgim,Lender / Debt Provider,Financing Relationship,Riverside / California,Refinancing,"PCCP Provides $61.3M Loan to Refinance 287-Unit Apartment Community in Washington, D.C.",https://rebusinessonline.com/pccp-provides-61-3m-loan-to-refinance-287-unit-apartment-community-in-washington-d-c/,92,40,1,92,No,Relevant to capital markets monitoring,Track GP relationship history
2026-07-05,20260705-000252-290c6e5e,PRJ-20260705-0153,Disposition / Exit - Seattle - CBRE Arranges $24M Sale of 87-Unit Apartment Property in Seattle,100,CBRE,CBRE,Developer / GP,cbre,CBRE,Lender / Debt Provider,Financing Relationship,Seattle,Disposition / Exit,CBRE Arranges $24M Sale of 87-Unit Apartment Property in Seattle,https://www.connectcre.com/stories/cbre-arranges-24m-sale-of-87-unit-apartment-property-in-seattle/,91,75,1,91,No,Relevant to capital markets monitoring,Track GP relationship history
2026-07-05,20260705-000252-290c6e5e,PRJ-20260705-0049,Disposition / Exit - California - Former Bank Branch Positioned as Development Opportunity in Garden Grove Sale,100,CBRE,CBRE,Developer / GP,cbre,CBRE,Lender / Debt Provider,Financing Relationship,California,Disposition / Exit,Former Bank Branch Positioned as Development Opportunity in Garden Grove Sale,https://www.connectcre.com/stories/former-bank-branch-positioned-as-development-opportunity-in-garden-grove-sale/,90,75,1,90,No,Relevant to LA / California strategy,Track GP relationship history
2026-07-05,20260705-000252-290c6e5e,PRJ-20260705-0080,"Office-to-Residential Conversion - Los Angeles / California - Kennedy Wilson, Jamison To Convert LA World Trade Center In 4,000-Unit Affordable Housing...",100,Kennedy Wilson,Kennedy Wilson,Developer / GP,kennedy wilson,Kennedy Wilson,Institutional Capital,Capital Flow,Los Angeles / California,Office-to-Residential Conversion,"Kennedy Wilson, Jamison Partner to Deliver 4,000 Affordable Units Across LA",https://www.connectcre.com/stories/kennedy-wilson-jamison-partner-to-deliver-4000-affordable-units-across-la/,90,75,1,90,No,Relevant to capital markets monitoring,Track GP relationship history
