run_date,run_id,canonical_article_id,related_canonical_article_ids,primary_display_section,repeat_exposure_status,published_date_normalized,collected_date_normalized,article_age_days,freshness_bucket,freshness_status,freshness_reason,freshness_score,article_integrity_status,access_status,extracted_city,extracted_state,extracted_market_reason,gp_name,canonical_gp_name,lead_entity,counterparties,entity_extraction_method,entity_extraction_confidence,entity_extraction_reason,has_project_anchor,project_anchor_reason,project_anchor_confidence,development_lifecycle_hint,residential_sector,activity_type,market_focus,source_categories,source_platform_types,article_count,average_relevance_score,institutional_signal_strength,growth_or_defensive_signal,likely_strategy,potential_implication_for_woomi,recommended_follow_up,strategic_priority_label
2026-08-09,20260809-233153-e892ad29,art_c7b06e9babe83951,art_03cbc85da087d1e2; art_c7b06e9babe83951; art_ed5463605da1cdbf,Development Activity,acceptable_repeat,2026-08-04,2026-08-09,5,fresh_0_3d,fresh,published date parsed; article age 5 day(s),66,valid,open,Miami,Florida,matched city/metro keyword: Miami,IPA,IPA,IPA,Institutional Property Advisors; Marcus & Millichap,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 400-unit; project/asset term: apartments,high,Project / Asset,Apartment,acquisition; disposition / exit; office-to-residential conversion; operational technology / AI adoption,West Palm Beach / Florida,Core Multifamily News; Site / Parcel Source Expansion,Other,3,85.0,97,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track construction innovation strategy,Immediate Watch
2026-08-09,20260809-233153-e892ad29,art_c2450b56ee1f7dc4,art_b914af68e0e48820; art_56d8c6149129c48e; art_c2450b56ee1f7dc4; art_e2fd8c77b05800b5,GP / Capital Activity,acceptable_repeat,2026-08-07,2026-08-09,2,fresh_0_3d,fresh,published date parsed; article age 2 day(s),74,valid,open,,,used broad market bucket: National,JLL,JLL,JLL,Value-Add Multifamily Outside Boston Residential; Refinance Bridge Investment Group; Value-Add Multifamily Outside Boston Invictus Real Estate; COurtesy JLL Invictus Real Estate,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",False,"no identifiable project, asset, site, address, or unit-count anchor",none,,Affordable Housing,acquisition; disposition / exit; refinancing; recapitalization; JV / partnership; operational technology / AI adoption,Atlanta / Georgia,Core Multifamily News; Site / Parcel Source Expansion,Other,4,78.8,97,Distressed Opportunity Positioning,distressed recapitalization,potential JV partnership signal,monitor JV activity,Immediate Watch
2026-08-09,20260809-233153-e892ad29,art_ed5463605da1cdbf,art_03cbc85da087d1e2; art_6595ac6c3493f1ac; art_ed5463605da1cdbf,Development Activity,acceptable_repeat,2026-08-08,2026-08-09,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),78,valid,open,Riverside,California,matched city/metro keyword: Riverside,Marcus & Millichap,Marcus & Millichap,Marcus & Millichap,Institutional Property Advisors,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 138-unit,medium,Project / Asset,Apartment,acquisition; disposition / exit; office-to-residential conversion; operational technology / AI adoption,West Palm Beach / Florida,Core Multifamily News; Site / Parcel Source Expansion,Other,3,86.3,97,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track construction innovation strategy,Immediate Watch
2026-08-09,20260809-233153-e892ad29,art_b184a61c9222e035,art_46e3b87d0b0b8847; art_b184a61c9222e035,Development Activity,acceptable_repeat,2026-08-07,2026-08-09,2,fresh_0_3d,fresh,published date parsed; article age 2 day(s),74,valid,open,Atlanta,Georgia,matched city/metro keyword: Atlanta,Affinius Capital,Affinius Capital,Affinius Capital,Alliance Residential; Walton Street Capital; TSB Capital Partners,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 536-unit; execution milestone: to build; project/asset term: project,high,Project / Asset,Multifamily,disposition / exit; refinancing; JV / partnership,California,Core Multifamily News,Other,2,82.0,89,Defensive Capital Preservation,California entitlement positioning,potential JV partnership signal,monitor JV activity,Immediate Watch
2026-08-09,20260809-233153-e892ad29,art_36653f04e4a4616f,art_00467678e68e1b53; art_36653f04e4a4616f,Development Activity,acceptable_repeat,2026-08-07,2026-08-09,2,fresh_0_3d,fresh,published date parsed; article age 2 day(s),74,valid,open,,,used broad market bucket: Seattle,Mesa West Capital,Mesa West Capital,Mesa West Capital,Loans Multifamily Washington Western Mesa West Capital; Timberlane Partners; Seattle-Area Apartments Mesa West Capital,title_lead_pattern,medium,Inferred entity from headline lead segment and capital-event verb.,True,unit/site count: 162-unit; execution milestone: delivered; project/asset term: community,high,Delivery / Opening,Apartment,refinancing; JV / partnership; operational technology / AI adoption,Los Angeles / California,Site / Parcel Source Expansion,Other,2,92.5,89,Defensive Capital Preservation,operational efficiency push,potential JV partnership signal,monitor JV activity,Immediate Watch
2026-08-09,20260809-233153-e892ad29,art_af936828d39943e9,art_af936828d39943e9,Development Activity,repeat_penalized,2026-07-15,2026-08-09,25,old_31d_plus,old,published date parsed; article age 25 day(s),5,valid,open,,California,matched state keyword: California,Bascom Group,Bascom Group,Bascom Group,,,,,True,unit/site count: 183-unit; project/asset term: community,high,Project / Asset,Apartment,acquisition; disposition / exit; refinancing; operational technology / AI adoption,California,Site / Parcel Source Expansion,Other,1,91.0,83,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Immediate Watch
2026-08-09,20260809-233153-e892ad29,art_d490eafe81223f9f,art_d490eafe81223f9f,Development Activity,acceptable_repeat,2026-08-06,2026-08-09,3,fresh_0_3d,fresh,published date parsed; article age 3 day(s),74,valid,open,,California,matched state keyword: California,Freddie Mac,Freddie Mac,Freddie Mac,,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 476 apartment; project/asset term: apartments,high,Project Financing / Capital Event,Apartment,refinancing; operational technology / AI adoption,California,Regional / California / LA Sources,Other,1,100.0,83,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Immediate Watch
2026-08-09,20260809-233153-e892ad29,art_d490eafe81223f9f,art_d490eafe81223f9f,Development Activity,acceptable_repeat,2026-08-06,2026-08-09,3,fresh_0_3d,fresh,published date parsed; article age 3 day(s),74,valid,open,,California,matched state keyword: California,Greystone,Greystone,Greystone,Freddie Mac,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 476 apartment; project/asset term: apartments,high,Project Financing / Capital Event,Apartment,refinancing; operational technology / AI adoption,California,Regional / California / LA Sources,Other,1,100.0,83,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Immediate Watch
2026-08-09,20260809-233153-e892ad29,art_195e49f75723614c,art_195e49f75723614c,GP / Capital Activity,repeat_penalized,2026-07-14,2026-08-09,26,old_31d_plus,old,published date parsed; article age 26 day(s),5,valid,open,,California,matched state keyword: California,"Milhaus Merges with SRG Residential, Will","Milhaus Merges with SRG Residential, Will","Milhaus Merges with SRG Residential, Will",SRG Residential; Will Acquire Broadshore Capital,title_lead_pattern,medium,Inferred entity from headline lead segment and capital-event verb.,True,project/asset term: apartments,medium,Project / Asset,Apartment,acquisition; operational technology / AI adoption,California,Site / Parcel Source Expansion,Other,1,67.0,82,Operational Optimization,operational efficiency push,competitive pressure indicator,review LA / California development activity,Immediate Watch
2026-08-09,20260809-233153-e892ad29,art_b1d43ebd2266d3ad,art_3fe3895d7eabec8d; art_b1d43ebd2266d3ad,Development Activity,new_or_fresh,2026-08-08,2026-08-09,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,valid,open,,Louisiana,matched state keyword: Louisiana,Fannie Mae,Fannie Mae,Fannie Mae,Walker & Dunlop,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 295 units,medium,Project Financing / Capital Event,Multifamily,acquisition; disposition / exit; refinancing,Louisville / Kentucky,Core Multifamily News; Site / Parcel Source Expansion,Other,2,95.0,79,Defensive Capital Preservation,selective multifamily acquisition,pricing discovery reference,track refinancing pipeline,Strategic Watch
2026-08-09,20260809-233153-e892ad29,art_46e3b87d0b0b8847,art_46e3b87d0b0b8847,Development Activity,repeat_penalized,2026-08-08,2026-08-09,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),48,valid,open,,,used broad market bucket: California,Alliance Residential,Alliance Residential,Alliance Residential,Walton Street Capital,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 200-unit; project/asset term: community,high,Project Financing / Capital Event,Multifamily,disposition / exit; refinancing; JV / partnership,California,Core Multifamily News,Other,1,86.0,73,Defensive Capital Preservation,California entitlement positioning,potential JV partnership signal,monitor JV activity,Strategic Watch
2026-08-09,20260809-233153-e892ad29,art_43641de8f10a1d27,art_43641de8f10a1d27,Development Activity,repeat_penalized,2026-07-27,2026-08-09,13,recent_4_14d,recent,published date parsed; article age 13 day(s),55,valid,open,Phoenix,Arizona,matched city/metro keyword: Phoenix,Arcus Real Estate Capital,Arcus Real Estate Capital,Arcus Real Estate Capital,,capital_event_sentence,medium,Inferred entity from source text near capital-event language.,True,unit/site count: 334-unit; project/asset term: community,high,Project / Asset,BTR / Single-Family Rental,refinancing; BTR expansion; operational technology / AI adoption,Phoenix / Arizona,Site / Parcel Source Expansion,Other,1,94.0,73,Defensive Capital Preservation,BTR growth strategy,capital market sentiment indicator,track refinancing pipeline,Strategic Watch
2026-08-09,20260809-233153-e892ad29,art_534fb361fdd31054,art_534fb361fdd31054,Development Activity,acceptable_repeat,2026-08-07,2026-08-09,2,fresh_0_3d,fresh,published date parsed; article age 2 day(s),74,valid,open,,,"no city, state, or market keyword detected",Berkadia,Berkadia,Berkadia,,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 340-unit; project/asset term: community,high,Project Financing / Capital Event,Apartment,recapitalization; operational technology / AI adoption,Other / Unknown,Site / Parcel Source Expansion,Other,1,100.0,73,Distressed Opportunity Positioning,distressed recapitalization,pricing discovery reference,track refinancing pipeline,Strategic Watch
2026-08-09,20260809-233153-e892ad29,art_56d8c6149129c48e,art_56d8c6149129c48e,Development Activity,acceptable_repeat,2026-08-07,2026-08-09,2,fresh_0_3d,fresh,published date parsed; article age 2 day(s),74,valid,open,,,"no city, state, or market keyword detected",Bridge Investment Group,Bridge Investment Group,Bridge Investment Group,JLL; Value-Add Multifamily Outside Boston Residential; Refinance Bridge Investment Group; Value-Add Multifamily Outside Boston Invictus Real Estate; COurtesy JLL Invictus Real Estate,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 194-unit; execution milestone: opened; project/asset term: multifamily property,high,Delivery / Opening,Multifamily,refinancing; JV / partnership; operational technology / AI adoption,Other / Unknown,Core Multifamily News,Other,1,97.0,73,Defensive Capital Preservation,operational efficiency push,potential JV partnership signal,monitor JV activity,Strategic Watch
