run_date,run_id,source_name,attempted_url_or_feed,status,article_count_fetched,site_parcel_candidate_count,reason_if_unavailable
2026-09-18,20260918-010447-6e8fb0ca,REBusiness Online,https://rebusinessonline.com/feed/atom/,no relevant articles,20,0,No saved Site / Parcel candidates detected
2026-09-18,20260918-010447-6e8fb0ca,Connect CRE Apartments,https://www.connectcre.com/feed?property-sector=apartments,no relevant articles,10,0,No saved Site / Parcel candidates detected
2026-09-18,20260918-010447-6e8fb0ca,Connect CRE Texas,https://www.connectcre.com/feed?story-market=texas,success,10,1,
2026-09-18,20260918-010447-6e8fb0ca,Connect CRE South Florida,https://www.connectcre.com/feed?story-market=south-florida,success,10,1,
2026-09-18,20260918-010447-6e8fb0ca,Connect CRE Phoenix,https://www.connectcre.com/feed?story-market=phoenix,success,10,1,
2026-09-18,20260918-010447-6e8fb0ca,Connect CRE Atlanta,https://www.connectcre.com/feed?story-market=atlanta,no relevant articles,10,0,No saved Site / Parcel candidates detected
2026-09-18,20260918-010447-6e8fb0ca,Connect CRE Charlotte,https://www.connectcre.com/feed?story-market=charlotte,error,0,0,RSS parsing issue: status=404; <unknown>:22:51: not well-formed (invalid token)
2026-09-18,20260918-010447-6e8fb0ca,Connect CRE Orange County,https://www.connectcre.com/feed?story-market=orange-county,no relevant articles,10,0,No saved Site / Parcel candidates detected
2026-09-18,20260918-010447-6e8fb0ca,CRE Daily,,skipped,0,0,No public feed URL configured
2026-09-18,20260918-010447-6e8fb0ca,Institutional Property Advisors,,skipped,0,0,No public feed URL configured
2026-09-18,20260918-010447-6e8fb0ca,JLL Newsroom,,skipped,0,0,No public feed URL configured
2026-09-18,20260918-010447-6e8fb0ca,CBRE Newsroom,,skipped,0,0,No public feed URL configured
2026-09-18,20260918-010447-6e8fb0ca,Cushman & Wakefield Newsroom,,skipped,0,0,No public feed URL configured
2026-09-18,20260918-010447-6e8fb0ca,Marcus & Millichap Newsroom,,skipped,0,0,No public feed URL configured
2026-09-18,20260918-010447-6e8fb0ca,Dallas Business Journal,,skipped,0,0,No public feed URL configured
2026-09-18,20260918-010447-6e8fb0ca,Austin Business Journal,,skipped,0,0,No public feed URL configured
2026-09-18,20260918-010447-6e8fb0ca,South Florida Business Journal,,skipped,0,0,No public feed URL configured
2026-09-18,20260918-010447-6e8fb0ca,Phoenix Business Journal,,skipped,0,0,No public feed URL configured
2026-09-18,20260918-010447-6e8fb0ca,Atlanta Business Chronicle,,skipped,0,0,No public feed URL configured
2026-09-18,20260918-010447-6e8fb0ca,Charlotte Business Journal,,skipped,0,0,No public feed URL configured
2026-09-18,20260918-010447-6e8fb0ca,Los Angeles Business Journal,,skipped,0,0,No public feed URL configured
2026-09-18,20260918-010447-6e8fb0ca,San Francisco Business Times,,skipped,0,0,No public feed URL configured
2026-09-18,20260918-010447-6e8fb0ca,Orange County Business Journal,,skipped,0,0,No public feed URL configured
2026-09-18,20260918-010447-6e8fb0ca,Denver Business Journal,,skipped,0,0,No public feed URL configured
2026-09-18,20260918-010447-6e8fb0ca,Nashville Business Journal,,skipped,0,0,No public feed URL configured
