run_date,run_id,primary_topic,article_count,high_confidence_count,medium_confidence_count,low_confidence_count,unknown_count,top_markets,top_sources
2026-06-08,20260608-143859-a74ae896,supply_demand,17,2,0,15,0,Other / Unknown (9); National (3); Miami / Florida (2); Phoenix / Arizona (1); Dallas / Texas (1),NAHB Eye on Housing - Multifamily (8); Multifamily Dive (3); Multifamily Executive (2); Connect CRE Phoenix (1); Connect CRE Apartments (1)
2026-06-08,20260608-143859-a74ae896,development_pipeline,13,0,6,7,0,Other / Unknown (2); Los Angeles / California (1); New York (1); Phoenix / Arizona (1); New York City / New York (1),REBusiness Online (2); Connect CRE Apartments (2); NAHB Eye on Housing - Multifamily (2); Urbanize LA (1); Bisnow (1)
2026-06-08,20260608-143859-a74ae896,gp_activity,12,0,0,2,10,National (4); Other / Unknown (2); California (1); New York City / New York (1); Dallas / Texas (1),NAHB Eye on Housing - Multifamily (3); Multifamily Dive (2); REBusiness Online (1); Connect CRE Orange County (1); Connect CRE Texas (1)
2026-06-08,20260608-143859-a74ae896,capital_markets,10,8,1,1,0,California (2); New York (1); Austin / Texas (1); Other / Unknown (1); Los Angeles / California (1),Connect CRE Orange County (2); Yield PRO (1); Commercial Observer (1); Connect CRE (1); Connect CRE Apartments (1)
2026-06-08,20260608-143859-a74ae896,transaction_market,8,1,3,4,0,Los Angeles / California (2); Other / Unknown (2); Virginia (1); Houston / Texas (1); New York City / New York (1),Yield PRO (2); REBusiness Online (2); Commercial Observer (1); Connect CRE (1); Connect CRE Apartments (1)
2026-06-08,20260608-143859-a74ae896,macro_financing,6,0,0,1,5,Other / Unknown (3); Los Angeles / California (2); Houston / Texas (1),NAHB Eye on Housing - Multifamily (2); Urbanize LA (1); Yield PRO (1); Bisnow (1); Multifamily Executive (1)
2026-06-08,20260608-143859-a74ae896,other,6,0,0,0,6,Los Angeles / California (2); San Francisco / California (2); Other / Unknown (1); New York City / New York (1),Urbanize LA (4); SF YIMBY (2)
2026-06-08,20260608-143859-a74ae896,institutional_capital,5,4,1,0,0,Texas (2); Miami / Florida (1); Riverside / California (1); New York City / New York (1),Yield PRO (3); Connect CRE (1); Connect CRE Texas (1)
2026-06-08,20260608-143859-a74ae896,research_data,3,0,0,0,3,California (2); Los Angeles / California (1),Urbanize LA (3)
2026-06-08,20260608-143859-a74ae896,operations_property_management,1,0,0,0,1,National (1),Bisnow (1)
